model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1591,7.521870990496582,20.321920387057403,0.9635949431364695,0.07189841836960265,aqi,RandomForest,41.4673574010003
AQI:GradientBoosting,1591,10.828718417789778,21.579087381142106,0.9589513981078198,0.10358776834769216,aqi,GradientBoosting,31.055371336999997
AQI:LinearRegression,1591,9.141389722137571,22.05182617354945,0.9571331724986728,-0.16262766445760984,aqi,LinearRegression,0.16042999399996916
AQI:Persistence,1591,6.884035197988687,22.52605517026065,0.9552696280678223,-0.05248271527341295,aqi,Persistence,0.0
AQI:GRU,1585,9.53700125124318,20.601391843759895,0.962658402452387,0.44631621738736915,aqi,GRU,
AQI:PINN,1585,10.191480415266808,20.85936835806934,0.9617173426993072,-1.1397419558072996,aqi,PINN,
AQI:PIIANN,1585,9.6735357517862,20.167382787271702,0.9642151787801554,0.2538918812457768,aqi,PIIANN,
pm25:PIIANN,1675,30.758269085279153,48.82946094397139,0.7401609555028508,0.2602717193560814,pm25,PIIANN,
pm10:PIIANN,1673,51.544803862791184,74.73490968660676,0.6763058906448236,0.16645031522578702,pm10,PIIANN,
no2:PIIANN,1670,14.176204992554146,19.525863442139954,0.5459672194275202,-0.3685541947444756,no2,PIIANN,
so2:PIIANN,1636,5.609568327510488,8.169747426877516,0.5320099722589489,-0.0331664041030815,so2,PIIANN,
co:PIIANN,1619,0.413898464946785,0.6174720674778764,0.5767398288925318,0.01058328081164546,co,PIIANN,
o3:PIIANN,1663,17.678728456951127,24.138206018236737,0.6585060835616263,0.9861682460016682,o3,PIIANN,
