model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1562,7.424286797338667,23.280814525338997,0.9566822500596986,0.06943344041110078,aqi,RandomForest,43.59946876499998
AQI:GradientBoosting,1562,11.322441031548125,25.173353911283403,0.9493532349129434,-0.6237238090380006,aqi,GradientBoosting,33.091462618999685
AQI:LinearRegression,1562,9.54446159439585,25.752758491233738,0.9469949732214875,-0.24269602732529594,aqi,LinearRegression,0.14547530800064123
AQI:Persistence,1562,7.074903969270166,26.194052017119155,0.9451628444638711,-0.588348271446863,aqi,Persistence,0.0
AQI:GRU,1536,9.591481147456117,20.83939907606661,0.9656789909903164,1.418950354649854,aqi,GRU,
AQI:PINN,1536,10.18257792658308,21.335638143119457,0.9640249887615269,1.4694694460374442,aqi,PINN,
AQI:PIIANN,1536,8.798655615628526,18.12207056047213,0.9740459403554977,-0.11985886782980724,aqi,PIIANN,
pm25:PIIANN,1671,20.687358776220012,34.06047077059644,0.9018397860784967,-0.9975534290753033,pm25,PIIANN,
pm10:PIIANN,1675,43.34472192790971,67.55783934522589,0.8377939964741429,-3.4205694201277264,pm10,PIIANN,
no2:PIIANN,1675,6.691618208012808,10.599919463161115,0.7975766287807955,-0.3328129220181214,no2,PIIANN,
so2:PIIANN,1668,1.919029592349902,3.4339471111192403,0.7635124535911265,-0.012749245170307316,so2,PIIANN,
co:PIIANN,1676,0.2889511415729606,0.545831248346832,0.8066860741988895,-0.02281465202240465,co,PIIANN,
o3:PIIANN,1685,7.044973067746937,10.58913147547876,0.9005604414262728,0.010968697780759823,o3,PIIANN,
