model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1652,7.455122799172796,21.332982689844098,0.9567282484272598,-0.766198194648717,aqi,RandomForest,47.388722859000154
AQI:GradientBoosting,1652,10.379668486917895,22.447843114526357,0.9520873104822342,-0.4683340254638823,aqi,GradientBoosting,41.24755597300009
AQI:LinearRegression,1652,8.481688475609758,22.990585019709773,0.9497424448182269,-0.2928564623184881,aqi,LinearRegression,0.14645853099955275
AQI:Persistence,1652,6.589588377723971,23.205009321849424,0.9488006075366486,-0.534503631961259,aqi,Persistence,0.0
AQI:GRU,1624,9.842598221481284,21.133794286749097,0.9584081383724473,0.99096763310605,aqi,GRU,
AQI:PINN,1624,9.588063476881098,20.59403676154701,0.9605055222499546,0.3493095642283272,aqi,PINN,
AQI:PIIANN,1624,8.72696020739167,18.76715674553278,0.9672017727499147,1.3816838663830184,aqi,PIIANN,
pm25:PIIANN,1657,24.69042801612389,42.70068348059424,0.7546752236136856,1.1974513135045568,pm25,PIIANN,
pm10:PIIANN,1653,48.13755655952172,76.07687781374018,0.7804532724278218,2.5906576928555856,pm10,PIIANN,
no2:PIIANN,1666,9.172245978164215,17.090909359208283,0.7137235017775359,0.8310903569801944,no2,PIIANN,
so2:PIIANN,1665,3.4078263969482245,6.511498047319458,0.6374423478613261,-0.037342857160009776,so2,PIIANN,
co:PIIANN,1663,0.31576282864810096,0.5192803351840375,0.7016140406178394,-0.006230387068221428,co,PIIANN,
o3:PIIANN,1669,7.727236829220427,12.27576408245688,0.7405740927457973,0.05320859946413194,o3,PIIANN,
