model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1608,7.2539585828360975,23.28140555031741,0.9513445529332794,-0.3291456138529851,aqi,RandomForest,41.19765631199971
AQI:LinearRegression,1608,8.231092336911056,25.200284893760102,0.9429935526732891,-0.34287594931517523,aqi,LinearRegression,0.11701035499936552
AQI:GradientBoosting,1608,10.817397967527327,25.485728126647693,0.9416948164386283,-0.7051961222373728,aqi,GradientBoosting,34.69441686200025
AQI:Persistence,1608,6.513370646766169,25.589586924278866,0.9412186405292311,-0.3572761194029851,aqi,Persistence,0.0
AQI:GRU,1557,9.758525083916371,24.27844186070498,0.9423486752224234,0.3225853360775995,aqi,GRU,
AQI:PINN,1557,9.630623463929798,23.92531636171198,0.9440135349477573,-1.0986172212405667,aqi,PINN,
AQI:PIIANN,1557,7.600988033024117,18.73229517141793,0.9656798123245658,-0.48236606159219825,aqi,PIIANN,
pm25:PIIANN,1511,18.686523003985673,34.09861073008038,0.8363333585686479,-1.019648501359809,pm25,PIIANN,
pm10:PIIANN,1622,38.8406225170954,67.14428537411129,0.7552020695073752,-1.4073677606853103,pm10,PIIANN,
no2:PIIANN,1484,5.998071881884792,12.018368843624927,0.8686696061637106,0.377917700615254,no2,PIIANN,
so2:PIIANN,1604,1.9568202201267728,3.3540022395185196,0.9541605654189521,0.03624206710783323,so2,PIIANN,
co:PIIANN,1644,0.2820756703824397,0.5105385035445045,0.8244735562629926,0.020931616466424902,co,PIIANN,
o3:PIIANN,1634,6.525584465478669,10.44912090761899,0.8610547065276274,0.05030599135262584,o3,PIIANN,
