model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1633,6.447134532164243,17.459008658836918,0.9696044131731101,0.944096801889941,aqi,RandomForest,43.31311149299927
AQI:GradientBoosting,1633,9.967966159542692,19.3362150415782,0.9627167033602043,0.7908674334346307,aqi,GradientBoosting,33.57593520299997
AQI:Persistence,1633,5.394366197183099,19.56692004566596,0.9618217240664771,0.6950398040416411,aqi,Persistence,0.0
AQI:LinearRegression,1633,8.033411859635372,19.831931061917704,0.9607805607527924,0.9181038922374534,aqi,LinearRegression,0.2312193150000894
AQI:GRU,1586,9.350152469375434,18.677176319475215,0.9640326402868415,-0.04595327268364168,aqi,GRU,
AQI:PINN,1586,8.931337920227065,17.876688328537455,0.9670496328613886,-0.25818923213474715,aqi,PINN,
AQI:PIIANN,1586,8.942964401488299,17.741827867487377,0.9675449080643177,0.31491234071736957,aqi,PIIANN,
pm25:PIIANN,1667,25.265303965664653,40.135485741808786,0.6985254333409865,3.1254986618976788,pm25,PIIANN,
pm10:PIIANN,1658,41.14437029617687,58.80688427297533,0.636697267786914,3.731362332193354,pm10,PIIANN,
no2:PIIANN,1675,11.12087301154635,17.260444755235785,0.29365258860814525,-0.6860719203948975,no2,PIIANN,
so2:PIIANN,1670,4.877556715798592,7.3762385298408635,0.2847827650121133,-0.372755460351884,so2,PIIANN,
co:PIIANN,1665,0.380276854076722,0.5410300880975221,0.34801030264714694,-0.01699132014054794,co,PIIANN,
o3:PIIANN,1673,19.476382276645623,26.032817135473024,0.5855408808913414,1.6731014491125131,o3,PIIANN,
