model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1539,7.966945173251019,24.29997340381974,0.9486812940849453,1.031543164828015,aqi,RandomForest,43.81000447099996
AQI:GradientBoosting,1539,11.694496947667066,25.84580342811312,0.9419443925217279,1.0902693107367114,aqi,GradientBoosting,33.50930139999946
AQI:LinearRegression,1539,9.657923099161973,27.283847674294794,0.9353043125099785,1.1967629084818983,aqi,LinearRegression,0.13797343599981104
AQI:Persistence,1539,7.74333983105913,28.477103418418697,0.9295216505367045,0.9746588693957114,aqi,Persistence,0.0
AQI:GRU,1535,10.084931497459507,20.94512389082767,0.9594453801954268,0.6079853268318582,aqi,GRU,
AQI:PINN,1535,10.10249342358093,21.2843250766051,0.9581211995265994,-1.8868621553586,aqi,PINN,
AQI:PIIANN,1535,9.818906009227156,20.206540866811046,0.9622550882565408,-0.1905503786351421,aqi,PIIANN,
pm25:PIIANN,1654,22.117801032951405,34.63535782927028,0.8891733666501833,1.6049025895517712,pm25,PIIANN,
pm10:PIIANN,1577,43.583785464057605,65.61742624946298,0.8333430040523975,0.8702305253729763,pm10,PIIANN,
no2:PIIANN,1674,8.213812823657708,12.432547646917143,0.8805085021395991,0.3300905008238419,no2,PIIANN,
so2:PIIANN,1672,2.181119291102915,3.9569412740210015,0.7857712920491502,0.14175109356713067,so2,PIIANN,
co:PIIANN,1626,0.29316073820388705,0.5193915050498952,0.7683537636849851,0.01277478268774275,co,PIIANN,
o3:PIIANN,1629,7.610360590024109,11.990109411015336,0.8566474051866605,0.2709828849728668,o3,PIIANN,
