model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,916,6.183455003357513,13.454706906105365,0.9583387163811092,0.3428638551891695,aqi,RandomForest,23.400620618000005
AQI:LinearRegression,916,6.689301126972778,14.425086039264771,0.9521126297887794,0.3452882141638839,aqi,LinearRegression,0.09285413399999243
AQI:Persistence,916,5.502183406113537,15.249525728182428,0.9464823743335125,0.20087336244541484,aqi,Persistence,0.0
AQI:GradientBoosting,916,8.021612072038915,15.533979865693038,0.9444671913188237,0.17130707258381048,aqi,GradientBoosting,18.02987314699999
AQI:GRU,867,7.235834074255307,13.48588662002955,0.9632911750563569,0.5119458485713593,aqi,GRU,
AQI:PINN,867,7.737380062215584,13.570421270970408,0.9628295230038547,-0.6448441356862167,aqi,PINN,
AQI:PIIANN,867,7.33884993239135,13.327719770599089,0.9641471916203963,-0.2984723166949482,aqi,PIIANN,
pm25:PIIANN,965,23.58511529110874,45.78940026017218,0.31560129066353915,-1.0807426070302262,pm25,PIIANN,
pm10:PIIANN,971,58.854168010912026,98.67600778712793,0.414676783245283,-0.6236391588048021,pm10,PIIANN,
no2:PIIANN,992,6.290738105104538,11.032967581439106,0.5515567019691254,-0.19925416434360219,no2,PIIANN,
so2:PIIANN,965,2.1669655888655024,4.2110644954919145,0.5660855056038963,0.09613871548151105,so2,PIIANN,
co:PIIANN,975,0.18826345636903585,0.3528513348039752,0.760583493193085,0.005509156820079791,co,PIIANN,
o3:PIIANN,989,8.449708415799906,12.32722108819772,0.8089562980054704,0.30893721042767813,o3,PIIANN,
