model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1531,3.8932804721868166,12.583586232924915,0.97281960371882,-0.04889077212445855,aqi,RandomForest,33.10844742200004
AQI:GradientBoosting,1531,5.979582390671082,13.246927496399278,0.9698784550178924,0.1282653857530502,aqi,GradientBoosting,27.557661757000005
AQI:LinearRegression,1531,4.797354433225709,13.418563180889553,0.9690928502851974,0.004272471881248882,aqi,LinearRegression,0.14509109200002968
AQI:Persistence,1531,3.4657086871325933,13.666361320554868,0.9679407969221322,0.186152841280209,aqi,Persistence,0.0
AQI:GRU,1498,5.585037220821478,14.005194434611528,0.9670778334841207,-1.1578894487810234,aqi,GRU,
AQI:PINN,1498,7.026419572630092,14.745144034790428,0.9635071181888302,-0.5596144513194016,aqi,PINN,
AQI:PIIANN,1498,5.270708624620991,13.44678263017404,0.9696508249154528,-0.3702148848727331,aqi,PIIANN,
pm25:PIIANN,1596,19.560770263045764,34.87421023767207,0.5106933392745086,-0.6954052370639149,pm25,PIIANN,
pm10:PIIANN,1445,36.39717506310519,62.51308875335614,0.48751754350345544,-1.9695651009421036,pm10,PIIANN,
no2:PIIANN,1259,3.3416889681968307,6.296411939499757,0.1408330856980904,-0.4659001332536825,no2,PIIANN,
so2:PIIANN,1566,11.11935349290246,14.338223936279945,0.2804344316057318,-0.7223406580977361,so2,PIIANN,
co:PIIANN,1612,0.2769146803879247,0.44275748791991487,0.3292578148849209,-0.024833372295200353,co,PIIANN,
o3:PIIANN,1544,3.4551562632052857,5.898322358931672,0.22616332944664685,0.23096197742216018,o3,PIIANN,
