model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1519,6.137880969198142,17.027387705539226,0.96387918124087,0.24748689459490933,aqi,RandomForest,39.694016594000004
AQI:GradientBoosting,1519,9.251662641583524,18.62806081784245,0.9567688457925004,0.07551374869506267,aqi,GradientBoosting,34.362871323000036
AQI:LinearRegression,1519,8.674899279134792,19.48051801884367,0.9527216252265422,-0.4897628288857424,aqi,LinearRegression,0.5362817010000072
AQI:Persistence,1519,6.294272547728769,21.458090267302072,0.942635439290916,-0.11915734035549704,aqi,Persistence,0.0
AQI:GRU,1491,8.89442275352056,21.82145371909432,0.9418445991666814,-0.8132763323283393,aqi,GRU,
AQI:PINN,1491,9.149017697690326,22.14785922995504,0.9400918092882502,-2.249742068374663,aqi,PINN,
AQI:PIIANN,1491,8.604760877004123,21.678587721165208,0.9426035982378737,-0.6494363165191185,aqi,PIIANN,
pm25:PIIANN,1534,14.882425275899596,25.172481773989805,0.8172726752928947,0.5649826650980088,pm25,PIIANN,
pm10:PIIANN,1584,29.027872498175412,46.81791051023089,0.8118354851478947,3.2917850385184844,pm10,PIIANN,
no2:PIIANN,1635,0.7141678617634905,2.035947647539948,0.8046889648647372,0.11129774347357793,no2,PIIANN,
so2:PIIANN,1637,1.236741724725023,2.6528570454996587,0.9149531622677065,0.22347754374756343,so2,PIIANN,
co:PIIANN,1640,0.15657926766732347,0.2531881058647446,0.8340837762588247,0.0018276010865650209,co,PIIANN,
o3:PIIANN,1482,11.409230688746451,21.673357339369876,0.6396119261594803,1.3908605536134278,o3,PIIANN,
