model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1379,2.8065030803815683,7.249346480089714,0.9506033509755574,0.3674919093714273,aqi,RandomForest,36.99820156800001
AQI:LinearRegression,1379,3.4628002920737035,7.696208413083728,0.9443258732899709,0.32160187494277814,aqi,LinearRegression,0.25179472999991503
AQI:GradientBoosting,1379,3.8136874870037687,7.9018608253194085,0.941310754511069,0.43304561890707133,aqi,GradientBoosting,25.712737436999987
AQI:Persistence,1379,2.548223350253807,8.040123276792393,0.9392389613344769,0.4002900652646846,aqi,Persistence,0.0
AQI:GRU,1387,3.8744159181378306,8.274390545687966,0.9379747070386267,0.15548299021634268,aqi,GRU,
AQI:PINN,1387,3.503296946001379,8.045817320589848,0.9413541711236695,0.39814143893413795,aqi,PINN,
AQI:PIIANN,1387,3.4907115420338486,8.038651329761414,0.9414585901790059,0.689510986430843,aqi,PIIANN,
pm25:PIIANN,1563,17.030374756586987,20.253846092114046,0.21261317358261478,0.3604177878365178,pm25,PIIANN,
pm10:PIIANN,1571,34.96054056516353,42.21289139460259,0.18965290287104164,-2.0191933056262554,pm10,PIIANN,
no2:PIIANN,1587,11.004671395914166,16.756334833510227,0.025369258120186755,0.5647258240243663,no2,PIIANN,
so2:PIIANN,1588,7.608911144033412,12.284358846802817,0.008848616158872002,0.9733758017664742,so2,PIIANN,
co:PIIANN,1581,0.5177983328628024,0.8142179807752853,0.08298627640290523,0.08384857679845688,co,PIIANN,
o3:PIIANN,1577,16.727025925158774,20.232992699057743,0.03395887093870864,1.1861107909441297,o3,PIIANN,
