model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1564,2.6653704028646046,8.954719646772734,0.9301758907576909,-0.23547561365053993,aqi,RandomForest,37.07331901500015
AQI:LinearRegression,1564,3.839217562403458,9.358420466721201,0.9237382925617225,-0.2566973701094524,aqi,LinearRegression,0.24492849499995373
AQI:GradientBoosting,1564,3.9375967914360577,9.801441543823572,0.9163470376174344,-0.2656295488997008,aqi,GradientBoosting,28.443358181000008
AQI:Persistence,1564,2.450127877237852,10.44163843940369,0.9050622972422755,-0.4124040920716113,aqi,Persistence,0.0
AQI:GRU,1543,3.7144952695196984,9.316570315967734,0.9268990047636588,1.1983936173969516,aqi,GRU,
AQI:PINN,1543,3.8822684330106814,9.534964423078682,0.9234316459523108,0.05484469273514109,aqi,PINN,
AQI:PIIANN,1543,3.6629319503205,9.287253830519647,0.9273583352675875,0.0858624696397386,aqi,PIIANN,
pm25:PIIANN,1586,8.650039318230233,12.109505055817465,0.6101014856393306,0.3576270985272613,pm25,PIIANN,
pm10:PIIANN,1566,20.218479064194483,26.253122853909925,0.6239995514434662,1.4351112056585411,pm10,PIIANN,
no2:PIIANN,1611,10.363935278160907,14.333878868705193,0.28467716523435793,0.5023830923824707,no2,PIIANN,
so2:PIIANN,1608,2.447885568471468,3.6187594887362917,0.16469788236861693,0.1479898842505703,so2,PIIANN,
co:PIIANN,1615,0.17693365190685595,0.24710659515905045,0.26319797003401524,0.0066925648776321395,co,PIIANN,
o3:PIIANN,1600,12.144455650877207,19.191325455840524,0.2648640983055284,0.1272328112833202,o3,PIIANN,
