model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,964,1.7287366509852242,6.796428199236224,0.9400724740704302,-0.282845576565304,aqi,RandomForest,25.585940074000064
AQI:LinearRegression,964,2.207368574863751,6.8008185691797856,0.9399950248629528,-0.20773591777726919,aqi,LinearRegression,0.07756172800009153
AQI:GradientBoosting,964,2.4582818894626652,7.0410787483161785,0.9356804073500502,-0.10208775010005665,aqi,GradientBoosting,21.65207174300008
AQI:Persistence,964,1.445539419087137,7.056474176302913,0.9353988282721035,-0.33973029045643155,aqi,Persistence,0.0
AQI:GRU,914,2.6532477083048156,7.042913537782069,0.9414805578853486,-0.20909675145341686,aqi,GRU,
AQI:PINN,914,2.6329182756590814,7.157348711138575,0.9395634287808662,0.34672961097280675,aqi,PINN,
AQI:PIIANN,914,2.5550245857860387,7.133000008850836,0.939973929677381,-0.27598598219408715,aqi,PIIANN,
pm25:PIIANN,1055,5.296643021434404,9.94049163595186,0.2970453667644095,0.20472127024031364,pm25,PIIANN,
pm10:PIIANN,1050,10.553150204249791,27.83279031109097,0.31676575542907515,0.3141571608043852,pm10,PIIANN,
no2:PIIANN,1076,2.288732229112249,3.566938723876073,0.7427869830344063,0.11104318776538381,no2,PIIANN,
so2:PIIANN,1051,5.336274170455878,9.74138372375255,0.3323373492851134,0.2440370032608112,so2,PIIANN,
co:PIIANN,1072,0.1469366769444998,0.21052928738472595,0.42213427930186,-0.004272129477052328,co,PIIANN,
o3:PIIANN,1076,10.164040700487488,14.158808298229378,0.7590892686319628,0.46768380745857624,o3,PIIANN,
