model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1555,3.0265222004815024,8.343060572979063,0.9605262637999781,0.03957275315233583,aqi,RandomForest,37.754852508999875
AQI:GradientBoosting,1555,4.200729062887228,9.01217310394945,0.9539407893385099,-0.11204169651098667,aqi,GradientBoosting,26.09112786699984
AQI:LinearRegression,1555,3.5546650976967076,9.115136490533523,0.9528823313824591,-0.16435450925498693,aqi,LinearRegression,0.1476158769999074
AQI:Persistence,1555,2.711575562700965,9.52975539781175,0.9484983730953372,-0.11028938906752411,aqi,Persistence,0.0
AQI:GRU,1489,4.0275545075944414,9.57067182031047,0.949217372735831,-0.06593551455411936,aqi,GRU,
AQI:PINN,1489,3.8909878982974107,9.486423946600814,0.9501074874531228,-0.14882997078857158,aqi,PINN,
AQI:PIIANN,1489,4.005990620611368,9.021148572797628,0.9548815691113033,0.11009969238344643,aqi,PIIANN,
pm25:PIIANN,1620,6.082675619717733,8.78612004332361,0.8811576042368344,0.10508907200009734,pm25,PIIANN,
pm10:PIIANN,1624,14.196277428583558,20.565068091918448,0.8483216664308519,0.7738880029159226,pm10,PIIANN,
no2:PIIANN,1616,4.253926210009174,10.181852513992155,0.6272344475716198,-0.3563889328829511,no2,PIIANN,
so2:PIIANN,1638,3.1983921241301756,5.958428087185177,0.6648542599386752,-0.07235226335324647,so2,PIIANN,
co:PIIANN,1645,0.17864063072496364,0.36656361376275526,0.5755062236422397,-0.00995677825496758,co,PIIANN,
o3:PIIANN,1620,6.050917045784724,8.933278171347094,0.8993519450244116,-0.10278626046959817,o3,PIIANN,
