model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1201,3.833818394798842,9.72347888478795,0.9305253063141976,-0.3094516226263968,aqi,RandomForest,29.63857371800009
AQI:GradientBoosting,1201,4.575172198783663,9.911484333104926,0.9278127184344211,-0.3726498685101099,aqi,GradientBoosting,21.035719759999893
AQI:Persistence,1201,3.305578684429642,10.354639919384766,0.9212132308064132,-0.19983347210657784,aqi,Persistence,0.0
AQI:LinearRegression,1201,4.311448068722058,10.356149750847052,0.9211902530077867,-0.21785452989710216,aqi,LinearRegression,0.10484470500000498
AQI:GRU,1153,4.617212774689865,9.719533351789018,0.9339203190625502,-0.22990478893879673,aqi,GRU,
AQI:PINN,1153,4.480654019855082,9.786983358947694,0.9329999991201141,0.036634011369417685,aqi,PINN,
AQI:PIIANN,1153,4.308566332722503,9.682655394260708,0.9344208082432566,-0.25029725730109376,aqi,PIIANN,
pm25:PIIANN,1287,12.94134529172309,16.56070481131014,0.590204694535659,0.8223611686057422,pm25,PIIANN,
pm10:PIIANN,1246,29.575708236204488,37.28030223701318,0.5292702260743812,2.0653161374944746,pm10,PIIANN,
no2:PIIANN,1316,15.920940535420433,19.19744646981,0.3618384661562135,0.14987937731266385,no2,PIIANN,
so2:PIIANN,1292,3.8086616413512098,7.956195010730715,0.07245059080013394,0.16304541593734695,so2,PIIANN,
co:PIIANN,1319,0.6884878702711578,2.4835950778605267,0.07302784962891928,-0.07706714402461531,co,PIIANN,
o3:PIIANN,1309,6.946210230280189,10.662467185368822,0.21941191767188684,-0.7365300759183623,o3,PIIANN,
