model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:Persistence,859,1.560535506402794,5.430398849506952,0.9540903732124243,0.18568102444703144,aqi,Persistence,0.0
AQI:LinearRegression,859,2.099876662398983,5.441988284233216,0.9538942055275029,0.15828520170418167,aqi,LinearRegression,0.1451943519998622
AQI:RandomForest,859,2.113600243841323,5.57356213886279,0.9516378054503235,0.2268241506691411,aqi,RandomForest,12.814491798000063
AQI:GradientBoosting,859,2.616889753997833,5.6059741598784605,0.9510736871259337,0.2141985060791766,aqi,GradientBoosting,10.242743525999913
AQI:GRU,855,2.73987131299165,5.781109742008985,0.9503728042753581,-0.6564222513735006,aqi,GRU,
AQI:PINN,855,2.7109517855054475,5.677975065732502,0.9521277025679573,-0.7823281862036587,aqi,PINN,
AQI:PIIANN,855,2.5884126522791475,5.632589216695515,0.9528899606620922,-0.34513776561789256,aqi,PIIANN,
pm25:PIIANN,1084,9.95008163434553,14.868850392686767,0.11208140784878462,-0.9895097628730689,pm25,PIIANN,
pm10:PIIANN,1050,19.45522305079869,35.96637201088327,0.17746753443701724,-2.3061609940301806,pm10,PIIANN,
no2:PIIANN,1092,2.449369996922575,3.0013955566559356,0.025669619713461156,0.22208870769966216,no2,PIIANN,
so2:PIIANN,1080,2.2519496926554927,3.625524811613028,0.046102775306057886,-0.0783134310333817,so2,PIIANN,
co:PIIANN,1087,0.1693589865780935,0.2455719201263748,0.0016632239382837755,-0.008698269359856542,co,PIIANN,
o3:PIIANN,1066,11.343133260109802,16.070185222651673,0.0050964330256849655,-0.6265337827351595,o3,PIIANN,
