model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:Persistence,893,1.1724524076147815,3.7976535455999163,0.9590925464264701,0.0851063829787234,aqi,Persistence,0.0
AQI:LinearRegression,893,2.086379965318514,4.133762601800199,0.9515311377141124,0.054660420604229876,aqi,LinearRegression,0.06935319899980641
AQI:RandomForest,893,1.66380198664054,4.44249125603658,0.9440210271739169,0.1487664337199116,aqi,RandomForest,24.030434201999924
AQI:GradientBoosting,893,2.4168137152926814,5.724492214728939,0.9070507906291564,0.19201997757045788,aqi,GradientBoosting,20.117669538999962
AQI:GRU,875,2.4585016361127927,6.153957234580176,0.8646117325815856,-0.20870281711289906,aqi,GRU,
AQI:PINN,875,2.4942622817386666,6.151406202891459,0.8647239557125805,0.1541636891911607,aqi,PINN,
AQI:PIIANN,875,2.354493159190238,6.106752224861572,0.8666808053994393,0.07758629225338164,aqi,PIIANN,
pm25:PIIANN,1041,6.187492098290685,8.901564914408178,0.14815661366589172,0.10645958807008067,pm25,PIIANN,
pm10:PIIANN,1042,11.500592487100905,18.705866069123427,0.3484444588537505,-0.02405270505088762,pm10,PIIANN,
no2:PIIANN,1063,2.0993614389665374,2.5618716451774715,0.31520198804314314,0.08232223774505357,no2,PIIANN,
so2:PIIANN,1043,3.20555675089045,6.353017391144046,0.060413194562953354,-0.2954332746015299,so2,PIIANN,
co:PIIANN,1053,0.19713381376109565,0.24465616816943314,0.20153806126111262,0.007402455128353146,co,PIIANN,
o3:PIIANN,1046,11.801384112945478,15.130711970003192,0.13954492484441938,1.292869989462838,o3,PIIANN,
