model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:GradientBoosting,1007,2.288474103770217,6.1678601904249,0.9136881570588786,0.09900512459430795,aqi,GradientBoosting,15.390342081999961
AQI:RandomForest,1007,1.897056781387874,6.285488787753508,0.9103646207714715,0.10541479955073955,aqi,RandomForest,17.224966318999805
AQI:LinearRegression,1007,1.915028739393773,6.56461189237779,0.9022268834788346,0.19890505105420433,aqi,LinearRegression,0.05841210999983559
AQI:Persistence,1007,1.5883813306852035,6.805588713392035,0.8949169311885009,0.259682224428997,aqi,Persistence,0.0
AQI:GRU,965,2.488378637051021,6.727815658848277,0.9039685871485043,-0.8610008647306204,aqi,GRU,
AQI:PINN,965,2.225768670678707,6.2511015502948215,0.917095470290839,-0.46237767396444884,aqi,PINN,
AQI:PIIANN,965,2.134827040459546,6.153104808271187,0.9196744372125171,-0.1267776066676548,aqi,PIIANN,
pm25:PIIANN,1081,8.501075931603328,16.606912356267504,0.14476784577067314,-0.3924655085576011,pm25,PIIANN,
pm10:PIIANN,1069,12.010769878847784,24.997535482512976,0.34071040360493343,-0.780337091915177,pm10,PIIANN,
no2:PIIANN,1087,3.0649252806438034,4.903896567208234,0.22258135614646768,-0.20096390907547293,no2,PIIANN,
so2:PIIANN,1092,3.6898113139546833,5.45514895215551,0.3131573651881804,0.12789881838001174,so2,PIIANN,
co:PIIANN,1070,0.2125153783038901,0.3662939071850979,0.13662170480463787,0.0035676087444576677,co,PIIANN,
o3:PIIANN,1093,8.836170640427275,11.767093894605113,0.23315612679276754,-0.8415694932648461,o3,PIIANN,
