model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,974,1.8342707407617067,7.606268971100829,0.8353318851752302,-0.032092036975990744,aqi,RandomForest,23.240318331000026
AQI:GradientBoosting,974,2.3473247231151815,7.62305332612549,0.8346043543633865,0.018293964489792338,aqi,GradientBoosting,21.107829345000027
AQI:LinearRegression,974,2.7836083698988903,7.957415711793771,0.8197769852538958,-0.035181646079439396,aqi,LinearRegression,0.0691513289998511
AQI:Persistence,974,1.406570841889117,8.278302209652209,0.8049487626624002,-0.09240246406570841,aqi,Persistence,0.0
AQI:GRU,967,3.142024980241499,9.94408258290523,0.7780469405354404,-0.04163756599479923,aqi,GRU,
AQI:PINN,967,2.9810197987567575,9.928158585873177,0.7787572222399524,-0.06653947186331373,aqi,PINN,
AQI:PIIANN,967,2.8101145432853327,10.169219397863928,0.7678830124613882,-0.02151550735913887,aqi,PIIANN,
pm25:PIIANN,1093,8.516880731651353,14.586178558355206,0.15083202958395758,-0.07698238651248586,pm25,PIIANN,
pm10:PIIANN,1092,9.47166580856938,22.587784389382534,0.2083382315115191,0.14322620783096704,pm10,PIIANN,
no2:PIIANN,1117,3.5508830993433778,4.720013987361583,0.23241503768044935,-0.20819227548187721,no2,PIIANN,
so2:PIIANN,1115,3.6409953786285736,6.550193528400592,0.11803651182505426,-0.10343428410155356,so2,PIIANN,
co:PIIANN,1117,0.3476062651526318,0.8194195579468317,0.23940875478381007,-0.0310940076836862,co,PIIANN,
o3:PIIANN,1129,7.59447412133428,10.089521641604652,0.13238937826291064,0.4680404810645709,o3,PIIANN,
