model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1626,4.243824216569998,14.711397131344478,0.9324475399560477,-0.9739908630380547,aqi,RandomForest,37.696034482000414
AQI:GradientBoosting,1626,5.917671596226364,14.749703155698649,0.9320952912767336,-0.66832261247735,aqi,GradientBoosting,26.17180576199962
AQI:LinearRegression,1626,5.107614365774119,15.017412380673738,0.9296079612052022,-0.9496382870518905,aqi,LinearRegression,0.14078054499987047
AQI:Persistence,1626,3.6559040590405902,15.02935319847716,0.9294959748445599,-0.8342558425584256,aqi,Persistence,0.0
AQI:GRU,1577,5.453880714837051,12.61063870847625,0.9493910910497254,-0.9401162399483488,aqi,GRU,
AQI:PINN,1577,5.524552460750076,12.373473720277426,0.951276768073851,0.11851872123975515,aqi,PINN,
AQI:PIIANN,1577,5.152563216871288,12.236737925067482,0.952347671670376,0.17709584452976446,aqi,PIIANN,
pm25:PIIANN,1674,18.292996253128404,51.64533966452736,0.2315188431348678,0.8711798585230305,pm25,PIIANN,
no2:PIIANN,1666,11.279123568118047,28.43811424112133,0.1858241563307964,0.7656217928962404,no2,PIIANN,
so2:PIIANN,1670,2.8420126402047936,6.736068512983137,0.21150790550280063,-0.34803448169977363,so2,PIIANN,
co:PIIANN,1671,0.23151287519330943,0.35894747874265304,0.23691354560433386,-0.02904387526546552,co,PIIANN,
o3:PIIANN,1671,5.958813902148938,11.110610516536415,0.30468751589047094,0.05203401650018424,o3,PIIANN,
