model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,917,1.7361745111161615,5.186448466334466,0.9390959072293603,0.038662181157052514,aqi,RandomForest,22.7715146380001
AQI:GradientBoosting,917,2.304732145941773,5.609891494845172,0.9287450127128447,0.006283504269070645,aqi,GradientBoosting,20.79643957899998
AQI:LinearRegression,917,2.2540386796023197,6.15180285214453,0.9143137448968495,0.005937626846481157,aqi,LinearRegression,0.07806889199991929
AQI:Persistence,917,1.6177753544165758,6.742963536302743,0.8970543579347713,0.007088331515812432,aqi,Persistence,0.0
AQI:GRU,873,2.184628456059638,4.597575381665857,0.9579947561824133,-0.23817829564462212,aqi,GRU,
AQI:PINN,873,2.197625995666561,4.509674320242335,0.9595855985772138,-0.17506003503051756,aqi,PINN,
AQI:PIIANN,873,2.1835405977951576,4.334960376064314,0.962656410802483,-0.7267619292247808,aqi,PIIANN,
pm25:PIIANN,985,8.83303542294478,12.277095620425019,0.5132764364724627,-0.140654730070666,pm25,PIIANN,
pm10:PIIANN,985,8.419066433010972,14.611067498268348,0.6006599257051043,-0.679647227834324,pm10,PIIANN,
no2:PIIANN,1004,3.30480185637911,4.8427214141071,0.640678219946291,0.36152124214932263,no2,PIIANN,
so2:PIIANN,973,2.9703492184857794,4.154876799110527,0.692063788679737,-0.4591269696328525,so2,PIIANN,
co:PIIANN,1012,0.19329090195576218,0.33016501885933397,0.441138742002426,-0.005167118792594877,co,PIIANN,
o3:PIIANN,999,5.653741288945094,7.753369631094971,0.6196409976436408,-0.13833915972867766,o3,PIIANN,
