model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1465,3.2823005957524503,9.67801661467088,0.9538834949111403,-0.09237655412734287,aqi,RandomForest,35.84705747699991
AQI:GradientBoosting,1465,4.405130244563723,9.852503803087822,0.9522056144335317,-0.18054629268034855,aqi,GradientBoosting,24.420813986000212
AQI:LinearRegression,1465,3.698341371497338,9.999202421607567,0.9507717518759926,-0.09565633240502171,aqi,LinearRegression,0.6026339720001488
AQI:Persistence,1465,2.781569965870307,10.271801088948399,0.9480510394654866,0.09283276450511946,aqi,Persistence,0.0
AQI:GRU,1388,4.144409995262028,10.360544636974724,0.9478973654012812,0.4226608810412578,aqi,GRU,
AQI:PINN,1388,4.22555113874793,10.165928511033263,0.9498364094301318,0.04955403037045154,aqi,PINN,
AQI:PIIANN,1388,3.9014211651962407,10.192895378781396,0.9495699214023381,0.5897615854102668,aqi,PIIANN,
pm25:PIIANN,1487,14.91455997130818,17.78954791785235,0.5201643448812263,-4.459145989486974,pm25,PIIANN,
pm10:PIIANN,1496,34.475189213845184,40.22389833013862,0.5197710558212556,-5.673914445514347,pm10,PIIANN,
no2:PIIANN,1531,15.182675800317257,21.76266131387113,0.3050506818358394,-0.4750309518394246,no2,PIIANN,
so2:PIIANN,1543,1.4051639577126396,1.8755991835022592,0.0066285154951369885,0.280561134016367,so2,PIIANN,
co:PIIANN,1547,0.3100162384105024,0.4312566260780324,0.15969320975674217,-0.008410897053019822,co,PIIANN,
o3:PIIANN,1540,4.109550510521059,7.225690026033467,0.0497166677850821,-0.209796989970393,o3,PIIANN,
