model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1653,4.099806018210853,12.603188720383992,0.9456561680562139,0.37850550380374,aqi,RandomForest,34.40912503000004
AQI:GradientBoosting,1653,5.728476354512134,13.919297138726732,0.9337136674157165,0.03480619752366616,aqi,GradientBoosting,35.48889654300001
AQI:LinearRegression,1653,4.6373218179454705,14.088484997464757,0.9320924648097489,-0.14585013719945736,aqi,LinearRegression,0.11783945299998777
AQI:Persistence,1653,3.785238959467635,14.40723292504719,0.9289849274931811,-0.04658197217180883,aqi,Persistence,0.0
AQI:GRU,1608,5.5704409130669905,12.965275686952642,0.9415290774115108,-0.1523409980545965,aqi,GRU,
AQI:PINN,1608,5.6205303918680976,12.353933203786443,0.9469131529364391,0.45589727197905483,aqi,PINN,
AQI:PIIANN,1608,4.526527143825034,10.622473814925048,0.9607510743693638,0.15240943496098963,aqi,PIIANN,
pm25:PIIANN,1687,10.17265392690632,16.66752979573815,0.7726098324911743,-0.10842998452135706,pm25,PIIANN,
pm10:PIIANN,1684,15.432098502642752,25.182273510166286,0.8306554781279853,0.442375837340774,pm10,PIIANN,
no2:PIIANN,1675,8.967058640095726,14.048411478372572,0.7799739740424614,0.4548131601134343,no2,PIIANN,
so2:PIIANN,1680,2.981564551538655,4.258344121339703,0.4051071417808152,-0.053056727473934494,so2,PIIANN,
co:PIIANN,1686,0.2040552810933055,0.31050819231823645,0.6902965349108439,0.0023365096320981022,co,PIIANN,
o3:PIIANN,1687,6.589671242639873,9.637512096133818,0.8403656964312938,-0.46654683680101905,o3,PIIANN,
