model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:GradientBoosting,896,9.181931815817249,19.44589219836443,0.9232483668702618,0.7032532457661951,aqi,GradientBoosting,15.531254739999895
AQI:RandomForest,896,7.327328084008495,19.539058281776285,0.9225111645335939,0.6783048670613882,aqi,RandomForest,16.866195613000173
AQI:LinearRegression,896,8.377234635208096,20.063056387441637,0.9182992459135674,0.4727876706962117,aqi,LinearRegression,0.05627776000005724
AQI:Persistence,896,6.549107142857143,20.729335665738475,0.9127826984753025,0.5022321428571429,aqi,Persistence,0.0
AQI:GRU,860,9.3423433612525,19.212982039758113,0.9223984265569982,1.631202817980961,aqi,GRU,
AQI:PINN,860,8.659144480028527,18.981371438646562,0.9242581080549945,0.25713692866679716,aqi,PINN,
AQI:PIIANN,860,8.944519424232752,19.26956155749007,0.9219407022404235,1.1839568076220173,aqi,PIIANN,
pm25:PIIANN,902,17.43450182398777,35.08309085888083,0.6190161184106682,-0.35379718042530134,pm25,PIIANN,
pm10:PIIANN,899,40.66123278162238,60.50061904193716,0.6792490926307685,-0.409601988198362,pm10,PIIANN,
no2:PIIANN,902,9.902542760855871,14.50456626441848,0.6905766343160129,0.18974913574110908,no2,PIIANN,
so2:PIIANN,905,2.452295185600855,6.898562388042122,0.2580825692496552,0.19584631473649272,so2,PIIANN,
co:PIIANN,902,0.2879910972694198,0.5144716335644136,0.6097009869945103,-0.007778813915652388,co,PIIANN,
o3:PIIANN,907,17.109472787005636,22.856767511989798,0.6767383747762119,1.2534757631419118,o3,PIIANN,
