model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:GradientBoosting,1294,6.17848326247803,14.874800903431419,0.9201173374988696,0.4391554580576657,aqi,GradientBoosting,28.561753839999938
AQI:RandomForest,1294,5.045277500188343,15.228089040807673,0.9162777244898259,0.6690021110565842,aqi,RandomForest,28.22356692099993
AQI:LinearRegression,1294,5.543357005197459,15.870058148985473,0.9090699887842051,0.7054549430283423,aqi,LinearRegression,0.1308041489999141
AQI:Persistence,1294,4.55370942812983,16.177943320375423,0.905507611334423,0.455564142194745,aqi,Persistence,0.0
AQI:GRU,1239,5.888463442138677,13.222562055383131,0.9395653307059154,-1.137369456879656,aqi,GRU,
AQI:PINN,1239,5.490901403867017,12.992420859898465,0.9416507763076708,-0.34781544591421465,aqi,PINN,
AQI:PIIANN,1239,5.315201202589934,12.859725343487247,0.9428365662827829,-0.5961196390245229,aqi,PIIANN,
pm25:PIIANN,1559,23.640593173795974,39.148779729472,0.27659212781781495,-0.205238307569943,pm25,PIIANN,
pm10:PIIANN,1562,46.46034419475536,64.24377279430308,0.33405585314446296,0.4364688788730265,pm10,PIIANN,
no2:PIIANN,1560,23.349405071812754,29.385371629029603,0.1604400253374788,-0.018282906687221465,no2,PIIANN,
so2:PIIANN,1563,5.452607793851457,8.218970517287474,0.022967886093080758,0.23594658710753696,so2,PIIANN,
co:PIIANN,1572,0.5242235989926795,0.863111277045154,0.022053855618330953,-0.0048746298028550065,co,PIIANN,
o3:PIIANN,1566,18.35722696813511,22.825071132130596,0.09917523401128026,0.1321251391032342,o3,PIIANN,
