model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,817,7.648289661242829,18.947779036447262,0.9358207855561356,0.09170197685393514,aqi,RandomForest,15.63233470199998
AQI:GradientBoosting,817,9.91588029023437,19.747046027048118,0.9302920917423245,-0.27964395573138146,aqi,GradientBoosting,14.286364386999821
AQI:LinearRegression,817,8.781777072967564,20.03864100641622,0.928218206705344,-0.5864405307669055,aqi,LinearRegression,0.04872784999997748
AQI:Persistence,817,6.8849449204406366,20.257612619285812,0.9266408487421406,-0.6352509179926561,aqi,Persistence,0.0
AQI:GRU,794,10.104564023289646,20.508259913160632,0.9244447558417028,-0.6470731119256485,aqi,GRU,
AQI:PINN,794,9.594904798698536,20.13139865110638,0.9271960595678115,-0.25412473067946134,aqi,PINN,
AQI:PIIANN,794,9.55213646228987,19.92658800463299,0.9286698937798068,-0.43017698032847074,aqi,PIIANN,
pm25:PIIANN,837,20.72294206288838,44.40661831207606,0.5651704278189702,-2.7021958523184026,pm25,PIIANN,
pm10:PIIANN,839,45.58133309447297,80.18080493514051,0.566084567587141,-5.0445295999956645,pm10,PIIANN,
no2:PIIANN,842,14.001495025503381,22.7755202151456,0.5625089450410783,-1.7597972259385568,no2,PIIANN,
so2:PIIANN,827,2.4781786951595666,4.980502625234509,0.37748600995268156,0.0005301100257085918,so2,PIIANN,
co:PIIANN,832,0.3729424833790475,0.5937727240704428,0.6284194189433521,-0.008656408311325922,co,PIIANN,
o3:PIIANN,835,19.18080491655601,25.822214086996713,0.6111848559516326,0.5346728494067392,o3,PIIANN,
