model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,846,5.240149853178275,11.644523151554779,0.969565235003589,0.11723278832417382,aqi,RandomForest,15.85493477099999
AQI:LinearRegression,846,5.6769476790802695,14.222727501725227,0.9545961882939112,0.004688645662656642,aqi,LinearRegression,0.047476510000024064
AQI:GradientBoosting,846,6.933598517039968,14.34754142920787,0.9537957941306936,0.2815539953535904,aqi,GradientBoosting,14.786638896000113
AQI:Persistence,846,4.66548463356974,14.508944009292179,0.9527503990709223,0.03664302600472813,aqi,Persistence,0.0
AQI:GRU,804,6.515019263161362,13.479677563317562,0.9555307728811446,-0.32258484904365414,aqi,GRU,
AQI:PINN,804,6.503992324433714,13.382646492648997,0.9561686763753762,1.6378344428369391,aqi,PINN,
AQI:PIIANN,804,6.16183737127857,13.180025864445707,0.9574858893397629,-0.07898141312874624,aqi,PIIANN,
pm25:PIIANN,875,21.77953060054779,33.75775447029624,0.3965525135792116,-1.6013739884240286,pm25,PIIANN,
pm10:PIIANN,877,48.91164814651081,70.4601347872212,0.38709985291238136,5.742826748601115,pm10,PIIANN,
no2:PIIANN,869,17.815142753980926,24.981802414422873,0.12701458247694652,-0.6390736752432976,no2,PIIANN,
so2:PIIANN,884,5.449517214122941,10.683356147085476,0.12816720830660633,-0.34852740809119126,so2,PIIANN,
co:PIIANN,887,0.44580146619893846,0.6771247145489404,0.08006948196434838,-0.011563330183660254,co,PIIANN,
o3:PIIANN,886,25.643941981091455,31.547810383981677,0.1635960617293566,1.0827167831680844,o3,PIIANN,
