model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1657,4.8644031215059655,15.186958618075197,0.9273521744534484,0.0555491283775597,aqi,RandomForest,35.83346885099991
AQI:GradientBoosting,1657,6.685288000762336,16.07280428252493,0.9186300004930732,-0.07460549985612654,aqi,GradientBoosting,36.03299575999995
AQI:LinearRegression,1657,5.840953681552184,16.761755855976485,0.9115047374847247,0.12272881966813314,aqi,LinearRegression,0.09060332900003232
AQI:Persistence,1657,4.68074834037417,17.33918262415005,0.9053025592189838,-0.058539529269764634,aqi,Persistence,0.0
AQI:GRU,1598,5.939835440316501,15.095289127696338,0.925957038204485,0.22536531235447782,aqi,GRU,
AQI:PINN,1598,6.044548987341256,15.008449772887756,0.926806488433799,-1.1834974043585214,aqi,PINN,
AQI:PIIANN,1598,5.979709067536565,14.0619492255921,0.9357472141809732,-0.737880595119892,aqi,PIIANN,
pm25:PIIANN,1683,10.374814922938514,18.067763884144963,0.7171843439811414,-0.3726916930113105,pm25,PIIANN,
pm10:PIIANN,1681,20.79137484194763,34.871812344063905,0.7842263653629375,-0.46705793100478465,pm10,PIIANN,
no2:PIIANN,1683,6.695254358059582,10.645434602569145,0.8098607912666205,0.3206092575017144,no2,PIIANN,
so2:PIIANN,1677,5.0162408966104595,7.099031216349776,0.23974627846809926,-0.05307878691261022,so2,PIIANN,
co:PIIANN,1691,0.2818490602333525,0.4829295510121766,0.642414870208643,-0.012464763543369157,co,PIIANN,
o3:PIIANN,1692,7.957499372180613,12.339499519172223,0.7824968521549512,-0.7465519950005179,o3,PIIANN,
