model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1409,4.5472239694703225,16.88297613409971,0.9127184457522064,0.12360696513767519,aqi,RandomForest,39.72387684900002
AQI:LinearRegression,1409,5.555946916623141,16.892301934964696,0.9126219941316277,0.28899967931616843,aqi,LinearRegression,0.3362914109999906
AQI:GradientBoosting,1409,6.2602084176976165,17.189025487279622,0.9095253380168563,0.31610132242083305,aqi,GradientBoosting,35.319877098000006
AQI:Persistence,1409,4.102200141944642,18.011312587409133,0.900662051881676,0.1589779985805536,aqi,Persistence,0.0
AQI:GRU,1371,6.137996433050132,15.574950592921953,0.9309799088614081,0.048985976942960606,aqi,GRU,
AQI:PINN,1371,6.133541528344125,15.394880210133795,0.9325666398136844,-0.19888997402127914,aqi,PINN,
AQI:PIIANN,1371,5.730298116478374,14.760850602612834,0.9380066732593542,0.05416977768271909,aqi,PIIANN,
pm25:PIIANN,1419,10.086097330632052,18.633852950176543,0.7896898557147922,0.03956962064423134,pm25,PIIANN,
pm10:PIIANN,1418,23.072569047194104,37.182050725605535,0.7850259607154622,-0.5750399667386108,pm10,PIIANN,
no2:PIIANN,1438,3.6276967380408287,7.239535495000405,0.7659869774951735,-0.2788510610231604,no2,PIIANN,
so2:PIIANN,1438,1.4980222236297724,2.824600776493038,0.8791838089218458,0.2134153508841577,so2,PIIANN,
co:PIIANN,1438,0.12407506585777534,0.23804961614460035,0.845824953286248,-0.004652771212860863,co,PIIANN,
o3:PIIANN,1434,3.888484209879838,6.918215466943381,0.7306023514815556,0.24320263595344963,o3,PIIANN,
