model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1614,6.018312276593998,17.184460760173028,0.949675268524197,0.4755251951564539,aqi,RandomForest,38.517917590000025
AQI:GradientBoosting,1614,8.254424511317678,18.52890579257177,0.9414928160621419,0.32711068908689683,aqi,GradientBoosting,27.829464842999982
AQI:LinearRegression,1614,7.397603924653214,19.599546067190545,0.9345361301315731,0.6260202122152815,aqi,LinearRegression,0.15199044999997113
AQI:Persistence,1614,5.866790582403965,20.425901990339597,0.9288995849136376,0.48946716232961585,aqi,Persistence,0.0
AQI:GRU,1567,7.3886152626311254,17.93064372412958,0.9456904382854714,0.15327942025396493,aqi,GRU,
AQI:PINN,1567,7.655637809042771,18.24584509536794,0.9437642486276261,-0.9000065497461845,aqi,PINN,
AQI:PIIANN,1567,7.207666341585348,17.654499851057043,0.9473503640637301,-0.5564709347587546,aqi,PIIANN,
pm25:PIIANN,1652,20.07773152809166,37.59643369902664,0.6077028067997456,1.621303439284641,pm25,PIIANN,
pm10:PIIANN,1451,32.25067846763553,57.81374800766509,0.6178196106377596,1.4188545284231806,pm10,PIIANN,
no2:PIIANN,1239,18.501930988152438,35.672514608902446,0.5843646008280818,0.5790996702569834,no2,PIIANN,
so2:PIIANN,1613,5.33628288642154,10.93188787228312,0.4647716853649889,-0.22711887413385265,so2,PIIANN,
co:PIIANN,1435,0.3466643768717338,0.5946761315903071,0.5035582157674261,-0.012776384496715356,co,PIIANN,
o3:PIIANN,1654,10.83839059575149,16.59641715478228,0.7265316086526208,1.0727112518832935,o3,PIIANN,
