model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1471,4.063214195700642,11.498775080122021,0.9574191431000945,0.3126880573513779,aqi,RandomForest,43.077582589999906
AQI:GradientBoosting,1471,5.563556227974586,12.115679072990835,0.9527276969981351,0.1226304883585833,aqi,GradientBoosting,38.056473805999985
AQI:LinearRegression,1471,4.87950462704933,12.739461644185345,0.9477347069417436,0.13530426318195288,aqi,LinearRegression,0.12674456299998837
AQI:Persistence,1471,3.6278042148198506,13.007952647784956,0.9455084535294721,0.06220258327668253,aqi,Persistence,0.0
AQI:GRU,1445,6.028359492940806,14.098058890282827,0.9402179019711382,-0.026138745834889718,aqi,GRU,
AQI:PINN,1445,5.760059002310764,14.049946984844562,0.9406252378843366,0.07147421857084328,aqi,PINN,
AQI:PIIANN,1445,5.2298134043857525,11.865323523013668,0.9576540695160709,0.5754291752591136,aqi,PIIANN,
pm25:PIIANN,1480,9.357346845156437,14.029437459145212,0.83263463392752,0.5556810441854838,pm25,PIIANN,
pm10:PIIANN,1476,18.37993251340499,29.331104627370177,0.7985746825411479,2.140924751597045,pm10,PIIANN,
no2:PIIANN,1482,3.2021379610435603,9.150173584319901,0.6952836399467393,0.1770218932566292,no2,PIIANN,
so2:PIIANN,1487,2.085994528778143,4.4294122504414775,0.7622013573955586,-0.11499579792946237,so2,PIIANN,
co:PIIANN,1490,0.10847371493498836,0.17160324734139717,0.8878615641128852,0.004687013050942656,co,PIIANN,
o3:PIIANN,1479,5.2155310745886885,8.785990684488459,0.7600166021447259,0.02123845516728581,o3,PIIANN,
