model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:LinearRegression,840,4.284029656172408,11.879348926933393,0.9415121120663544,-0.21781616527721498,aqi,LinearRegression,0.3444500979999816
AQI:RandomForest,840,4.086065830743845,12.191013490623469,0.9384028973394456,-0.0855201040173552,aqi,RandomForest,12.889012186000002
AQI:GradientBoosting,840,5.259572343093563,12.198647494092995,0.9383257290670288,-0.07372593149386339,aqi,GradientBoosting,11.079632764999985
AQI:Persistence,840,3.5619047619047617,12.53670800565474,0.9348600107487948,-0.5047619047619047,aqi,Persistence,0.0
AQI:GRU,843,4.890810322060122,10.801038611140022,0.956658119276654,0.5004769960403327,aqi,GRU,
AQI:PINN,843,4.843754432500343,10.730575523266724,0.9572217763675913,0.33182277254508474,aqi,PINN,
AQI:PIIANN,843,4.466325995255209,10.629323563453632,0.9580252642845418,0.20213044602538896,aqi,PIIANN,
pm25:PIIANN,992,29.664651639226282,85.27475660695802,0.13531435774796907,-3.396355283649398,pm25,PIIANN,
pm10:PIIANN,994,39.17780559595442,77.87401991245927,0.1702529536373576,3.2700518607133833,pm10,PIIANN,
no2:PIIANN,1023,9.63220119859954,15.062246913139989,0.07942507844003599,-0.12769256741398416,no2,PIIANN,
so2:PIIANN,986,9.779021300707942,14.180511739841418,0.14003576139348473,-0.5421254138101429,so2,PIIANN,
co:PIIANN,1029,0.3330965343006837,0.5855128586382602,0.1315195804794349,0.003011087023573805,co,PIIANN,
o3:PIIANN,789,4.6779493328929895,8.05770655337568,0.014916135444090428,-0.3609668675441819,o3,PIIANN,
