model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1554,4.174592891798045,13.69142906826312,0.9688235982713448,-0.0002791622658637452,aqi,RandomForest,58.45731983400003
AQI:GradientBoosting,1554,6.535929658784759,15.480733482482526,0.9601423678107195,-0.2954985716687575,aqi,GradientBoosting,48.80886044299996
AQI:LinearRegression,1554,5.550812271368424,16.71244597557139,0.9535475675812316,-0.268892297975038,aqi,LinearRegression,0.22093030500002442
AQI:Persistence,1554,3.958172458172458,17.308996254877155,0.9501721446150002,-0.035392535392535396,aqi,Persistence,0.0
AQI:GRU,1525,5.515121010754217,12.896775427520316,0.9692267861782089,0.46024662469642663,aqi,GRU,
AQI:PINN,1525,5.699412887855616,13.048165817302353,0.9685000754390649,1.4005701723098518,aqi,PINN,
AQI:PIIANN,1525,5.398031967302083,12.40844692232558,0.9715130840560579,0.6168633396742539,aqi,PIIANN,
pm25:PIIANN,1605,13.841037907555839,22.040064757201876,0.7025500519637322,1.6160317469980114,pm25,PIIANN,
pm10:PIIANN,1603,26.357718711039162,38.17299515853861,0.7130988150679032,4.431163189341259,pm10,PIIANN,
no2:PIIANN,1574,13.655200871609368,19.869438959371788,0.3725032302493647,-0.015315982256335558,no2,PIIANN,
so2:PIIANN,1599,4.707168852974468,6.952963542368733,0.25821436619351523,-0.21981483660149082,so2,PIIANN,
co:PIIANN,1607,0.2901177867156336,0.4637254906807823,0.3434949378131297,0.024981631001419324,co,PIIANN,
o3:PIIANN,1585,17.44096939706652,23.04228865640536,0.255428255408349,-0.9778378089519705,o3,PIIANN,
