model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1619,4.582300619052953,16.428468881910053,0.9469900327496532,0.2566616857875006,aqi,RandomForest,60.134894177999854
AQI:GradientBoosting,1619,6.572883083935457,16.551076325423367,0.946195841941338,0.08775710551609783,aqi,GradientBoosting,52.47714002199996
AQI:LinearRegression,1619,5.431129702565041,18.53011845236412,0.9325596604824923,0.5367523872412611,aqi,LinearRegression,0.19623650400001225
AQI:Persistence,1619,4.475293390982087,19.255318606201055,0.9271776356839093,0.42093885114268065,aqi,Persistence,0.0
AQI:GRU,1579,5.86950169048589,12.751481843143948,0.9644831084408402,1.20443999974948,aqi,GRU,
AQI:PINN,1579,5.189818972352875,12.39361045765348,0.9664487025613369,0.7898886266053506,aqi,PINN,
AQI:PIIANN,1579,5.0771308924386425,12.193870967674158,0.9675214355025787,0.5662922433770847,aqi,PIIANN,
pm25:PIIANN,1651,20.08533679948006,25.614979416430767,0.4665973259516194,1.8602357374979177,pm25,PIIANN,
pm10:PIIANN,1648,28.538382961912063,38.86072150351633,0.6055332086607829,1.7181673292974824,pm10,PIIANN,
no2:PIIANN,1605,10.119947772064592,15.401169694828438,0.2130226353144813,-0.06187247407631339,no2,PIIANN,
so2:PIIANN,1644,3.7894491826834433,5.371824188364427,0.1485371140477707,-0.1709758177277272,so2,PIIANN,
co:PIIANN,1652,0.2814911517064306,0.46504089653945324,0.27285779816321454,-0.015252565455422274,co,PIIANN,
o3:PIIANN,1630,16.196944688141713,22.277626039722932,0.15688307757177555,1.051072820125182,o3,PIIANN,
