model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1433,4.049860038424622,13.536986932589395,0.9601508502887969,-0.37855014067590603,aqi,RandomForest,53.70312875100012
AQI:GradientBoosting,1433,6.103540055534502,15.240688510978435,0.9494892038674039,-0.16304510169921602,aqi,GradientBoosting,46.73513268299985
AQI:LinearRegression,1433,5.07337461888442,16.013397378471897,0.9442375301350233,0.06114500997856508,aqi,LinearRegression,0.1899945929999376
AQI:Persistence,1433,3.7128401953942776,16.686714506840413,0.939449642596948,-0.00732728541521284,aqi,Persistence,0.0
AQI:GRU,1416,5.983501071398911,12.533763514321402,0.9648529911124321,0.9957347034329379,aqi,GRU,
AQI:PINN,1416,5.204144769592156,11.220384444153776,0.9718329831494603,-0.29018641492078173,aqi,PINN,
AQI:PIIANN,1416,4.393705043613984,9.712401600180096,0.9788953262736915,-0.36860985032593113,aqi,PIIANN,
pm25:PIIANN,1472,7.655426088801545,12.862795129230417,0.8712084764761281,0.00444105729136778,pm25,PIIANN,
pm10:PIIANN,1512,14.382511161622547,23.220449611245286,0.8827379099562435,1.2359655521534108,pm10,PIIANN,
no2:PIIANN,1461,5.3485049569264085,9.799878168469878,0.873373591285248,0.5523587186029723,no2,PIIANN,
so2:PIIANN,1555,2.325654953028228,5.154680059606558,0.6712370941900753,-0.14049060772086264,so2,PIIANN,
co:PIIANN,1538,0.10759733492443133,0.19000249124096583,0.7966302854824368,0.011924814913659241,co,PIIANN,
o3:PIIANN,1505,6.199211154145458,8.810701419963666,0.8886510123307987,0.42506338453471065,o3,PIIANN,
