model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1629,4.077225605357027,15.798505822707362,0.9573355332584783,-0.41189793981623574,aqi,RandomForest,61.40201041499995
AQI:GradientBoosting,1629,6.718417045404861,16.681051815885315,0.9524356949833174,-0.5761868990937107,aqi,GradientBoosting,51.503175287999966
AQI:LinearRegression,1629,5.312917822526667,16.890948195690285,0.9512311682161728,-0.8883795329909169,aqi,LinearRegression,0.20926974600001813
AQI:Persistence,1629,3.821976672805402,17.13199398567217,0.9498293047737221,-0.7587476979742173,aqi,Persistence,0.0
AQI:GRU,1592,5.9642404479280735,12.431935391376678,0.9733209013046543,0.031627180009983547,aqi,GRU,
AQI:PINN,1592,5.517956400168503,12.260683503039816,0.9740508564720998,-0.6056343448613826,aqi,PINN,
AQI:PIIANN,1592,5.28763923608766,12.076255174816637,0.9748256522440676,-0.010522039071645931,aqi,PIIANN,
pm25:PIIANN,1672,25.911943816967558,35.49407463687968,0.19989836233561187,-3.0756840155455483,pm25,PIIANN,
pm10:PIIANN,1670,52.83074272749667,67.76724775980634,0.16896725303616378,4.207328298420249,pm10,PIIANN,
no2:PIIANN,1646,14.923571863828425,23.029926050022762,0.08094650159301453,0.48398984563089953,no2,PIIANN,
so2:PIIANN,1674,2.4128120359714313,4.766139482259593,0.03240119654119156,-0.5701423681462395,so2,PIIANN,
co:PIIANN,1674,0.3994957620532555,0.5786010236141269,0.20807670701534853,0.038778614215282864,co,PIIANN,
o3:PIIANN,1660,16.199414033200366,23.800132059913825,0.04591598168856126,-2.494479606237756,o3,PIIANN,
