model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1612,4.965764268171274,15.052775830072772,0.9655949809644542,-0.32169861034906666,aqi,RandomForest,59.96090595299984
AQI:GradientBoosting,1612,7.937299959495429,16.957780044637488,0.9563356891582723,-1.0161979855782526,aqi,GradientBoosting,51.150676830000066
AQI:LinearRegression,1612,6.696457342117355,17.31152019407916,0.9544950095300528,-0.7648337074570402,aqi,LinearRegression,0.1953401319999557
AQI:Persistence,1612,4.491315136476427,18.0553670113801,0.950500449419622,-0.8976426799007444,aqi,Persistence,0.0
AQI:GRU,1557,7.063996903756143,17.459581686650573,0.9495478023818837,0.5018718859732414,aqi,GRU,
AQI:PINN,1557,6.98474814532688,17.351371803002802,0.9501712432510803,1.165941516786595,aqi,PINN,
AQI:PIIANN,1557,6.630558210107183,17.183040189549043,0.9511333653091515,0.7573007594016546,aqi,PIIANN,
pm25:PIIANN,1635,17.204311772369827,24.77201304300344,0.6696955716572683,2.4305335604087293,pm25,PIIANN,
pm10:PIIANN,1638,30.420948352278078,46.2222313577494,0.6593438163863726,0.5717869270706643,pm10,PIIANN,
no2:PIIANN,1608,8.767072821124017,13.650716198742446,0.2973728460982781,0.45022312680083276,no2,PIIANN,
so2:PIIANN,1635,5.735049933309037,10.374356018033293,0.2317829896846304,-0.1838753951935593,so2,PIIANN,
co:PIIANN,1639,0.25305108428872014,0.425078089935841,0.3725824590817649,0.01720575363841849,co,PIIANN,
o3:PIIANN,1590,19.389202428373665,27.225943105981795,0.22070627165019086,-0.5027414468251777,o3,PIIANN,
