model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1663,3.4301583344850872,10.807026131202859,0.9656766593622028,0.10367647501027678,aqi,RandomForest,62.97230179999997
AQI:GradientBoosting,1663,5.03932240607298,11.457821344787547,0.961418310657079,0.23118819592919648,aqi,GradientBoosting,52.47283947400001
AQI:LinearRegression,1663,4.296235984893199,12.232625891062616,0.9560239178551431,0.013238567125746862,aqi,LinearRegression,0.22035212200034948
AQI:Persistence,1663,3.0643415514131087,12.65218840030835,0.9529555443400457,0.1238725195429946,aqi,Persistence,0.0
AQI:GRU,1636,5.091833782429889,11.098393088177977,0.9599155936561106,-0.7594400830358108,aqi,GRU,
AQI:PINN,1636,4.468862500571145,10.77493059148043,0.96221806357233,-0.47444523658455745,aqi,PINN,
AQI:PIIANN,1636,4.406762525706534,9.987703510461188,0.9675371583221976,0.06500459975467023,aqi,PIIANN,
pm25:PIIANN,1675,5.762204021624664,9.728242427357985,0.8989505690144005,-0.5627719247163232,pm25,PIIANN,
pm10:PIIANN,1673,10.638503858448857,18.5841215126385,0.88140160654312,0.26122124552798,pm10,PIIANN,
no2:PIIANN,1615,7.4159453946924065,12.224744659216634,0.8596854810968464,0.2226090974667493,no2,PIIANN,
so2:PIIANN,1673,2.2705006957392597,7.293041391463849,0.47189555578087605,0.07863233237122606,so2,PIIANN,
co:PIIANN,1672,0.13911875958596778,0.2864354037809418,0.8272332548139426,-0.015697696535295527,co,PIIANN,
o3:PIIANN,1672,5.994826887335415,8.65854403904381,0.899349653466399,0.11548674450830766,o3,PIIANN,
