model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1521,3.767311173292042,11.20544091130633,0.960112707746661,0.2566195637275379,aqi,RandomForest,45.11390978400004
AQI:LinearRegression,1521,4.401828015659711,12.301990396708494,0.951924100021324,0.04737134136189947,aqi,LinearRegression,0.16147051899997678
AQI:Persistence,1521,3.244904667981591,12.484921872472238,0.9504836853930585,-0.048323471400394474,aqi,Persistence,0.0
AQI:GradientBoosting,1521,5.340570902389777,12.4891694115742,0.9504499874233152,0.20619782191817834,aqi,GradientBoosting,38.29272629299999
AQI:GRU,1476,4.798796630509126,11.534713501477034,0.9569464136358761,-0.7610072282210638,aqi,GRU,
AQI:PINN,1476,4.9908940303184455,11.186914103450034,0.9595036093843196,-0.8056013264569204,aqi,PINN,
AQI:PIIANN,1476,4.2347783559966725,9.098176700170468,0.9732142109373948,-0.10189229268727658,aqi,PIIANN,
pm25:PIIANN,1493,9.610938818719829,14.752767887400777,0.7959983319206054,0.13242621698877752,pm25,PIIANN,
pm10:PIIANN,1511,22.022193567513,41.68694875544697,0.6946162689807627,-0.7410306661906896,pm10,PIIANN,
no2:PIIANN,1536,1.9964281741995364,3.954239864213053,0.82124527812244,-0.18507973671269914,no2,PIIANN,
so2:PIIANN,1537,1.7746125558171866,2.970302459493784,0.9620479523416711,-0.029934159020130403,so2,PIIANN,
co:PIIANN,1540,0.07227692387960194,0.13328394198114732,0.8800466957901518,-0.006319818962865439,co,PIIANN,
o3:PIIANN,1510,5.926171886080889,8.905169655718339,0.8743071838947342,0.07053031538619309,o3,PIIANN,
