model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1629,4.240505825729903,12.397494941378362,0.9603230880431312,-0.05224859410480368,aqi,RandomForest,39.273836959000164
AQI:LinearRegression,1629,4.851887903626737,13.534011863305615,0.9527150330383451,-0.08740929675893934,aqi,LinearRegression,0.15620939099994757
AQI:GradientBoosting,1629,6.052985688093135,13.654784910692012,0.9518673568231976,-0.1129056877965038,aqi,GradientBoosting,28.483743178000168
AQI:Persistence,1629,3.942295887047268,13.91790584573538,0.9499945001702599,-0.09576427255985268,aqi,Persistence,0.0
AQI:GRU,1602,5.86155644925426,11.284540939054045,0.9668726013064473,0.9755976228727613,aqi,GRU,
AQI:PINN,1602,5.619622016560642,11.258368906610809,0.9670260866695012,1.5474406177531994,aqi,PINN,
AQI:PIIANN,1602,4.886327951060234,10.255240600605605,0.9726403051381772,-0.16484343585403163,aqi,PIIANN,
pm25:PIIANN,1657,11.770133253135231,23.873044710228452,0.6495818133592072,0.23608855975990778,pm25,PIIANN,
pm10:PIIANN,1471,18.893042636638917,48.503925973772866,0.591846008238079,-0.49889377511171645,pm10,PIIANN,
no2:PIIANN,1659,4.551647248048607,9.092109475624476,0.8195776495128999,0.27824951016701727,no2,PIIANN,
so2:PIIANN,1540,1.579832865138139,3.390457302740687,0.8226358370961575,0.05878204651563972,so2,PIIANN,
co:PIIANN,1362,0.07393935332044262,0.1617408368826946,0.7816252172241869,0.007821038826070586,co,PIIANN,
o3:PIIANN,1670,5.059786439654668,7.996062708927162,0.8799705943931592,-0.35235646270594734,o3,PIIANN,
