model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1336,5.0334446288137995,16.824734717937773,0.948679785356316,-0.2117572667943521,aqi,RandomForest,42.19374943699995
AQI:GradientBoosting,1336,7.33259649707245,17.12620621847707,0.9468241608847232,-0.4406163202799322,aqi,GradientBoosting,36.358206251999945
AQI:LinearRegression,1336,5.878477292856399,17.760352330293962,0.942813282652014,-0.11997240283083588,aqi,LinearRegression,0.10333539299995209
AQI:Persistence,1336,4.9494760479041915,18.525305358421342,0.9377810376063815,-0.019835329341317365,aqi,Persistence,0.0
AQI:GRU,1302,5.891007181184503,11.818021448213482,0.9729039146349455,-0.3601538268839191,aqi,GRU,
AQI:PINN,1302,5.471532253646562,11.320214187198124,0.9751385592777241,0.12769029455391545,aqi,PINN,
AQI:PIIANN,1302,6.121632418776673,12.116004609439985,0.9715202702439799,-0.011713467618894913,aqi,PIIANN,
pm25:PIIANN,1348,11.90310970629712,18.77632367119516,0.8255308040808972,-0.09792263270839385,pm25,PIIANN,
pm10:PIIANN,1350,18.285967309033428,36.23885145128758,0.80737623574143,-0.49739810590390804,pm10,PIIANN,
no2:PIIANN,1351,5.33228999577038,10.262677845968676,0.744748291155843,0.045958614786142424,no2,PIIANN,
so2:PIIANN,1350,2.1171259452292213,3.36092194083538,0.547500011384561,-0.07473790631801994,so2,PIIANN,
co:PIIANN,1351,0.26762828757157686,0.4420101482732761,0.6412518496478092,-0.024285568836650354,co,PIIANN,
o3:PIIANN,1347,5.368938608187698,7.94827703980701,0.8892772508378552,0.16385885496757255,o3,PIIANN,
