model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1414,3.451845328269178,10.291609564072427,0.9542654775182119,-0.4049931244885013,aqi,RandomForest,42.146075842999835
AQI:LinearRegression,1414,4.329140584988479,11.740506781860475,0.940481602076195,-0.6604881649917935,aqi,LinearRegression,0.12391856800013556
AQI:GradientBoosting,1414,4.976055358953013,11.886214341077295,0.9389951083397312,-0.4002732392235799,aqi,GradientBoosting,35.22465217600006
AQI:Persistence,1414,3.101838755304102,11.925303823682174,0.9385932022811311,-0.5311173974540311,aqi,Persistence,0.0
AQI:GRU,1391,4.938152182877736,11.784083777653764,0.9430777989068342,0.3055594597303092,aqi,GRU,
AQI:PINN,1391,4.6992158397832435,11.61193781713329,0.9447287297917476,-0.4369791734174234,aqi,PINN,
AQI:PIIANN,1391,4.618577979727139,10.05963979577424,0.9585184569656331,-0.24175835504523588,aqi,PIIANN,
pm25:PIIANN,1454,7.860905523484949,13.868415752224069,0.8075565978677761,0.3150576228529543,pm25,PIIANN,
pm10:PIIANN,1439,15.89257726212025,30.61082245044024,0.6908290140654676,-0.6103224426280135,pm10,PIIANN,
no2:PIIANN,1472,2.0134967078819224,4.736777047693398,0.8050861056891774,0.01628970832604429,no2,PIIANN,
so2:PIIANN,1469,1.1015055872616595,1.815748114741643,0.9501934236101921,0.07975532864128512,so2,PIIANN,
co:PIIANN,1474,0.079726574299058,0.1448747266523511,0.8734553098085598,-0.006215541259801774,co,PIIANN,
o3:PIIANN,1452,6.684800858668388,10.698130514349968,0.8145971502544073,0.007385560796280537,o3,PIIANN,
