model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1648,5.936240168156096,16.582889262576693,0.9617371849681708,0.08732125645645197,aqi,RandomForest,49.2967733659998
AQI:GradientBoosting,1648,8.566908320300659,18.53700183357425,0.9521881550016521,0.17550898361683706,aqi,GradientBoosting,42.72062910900013
AQI:LinearRegression,1648,6.875629335079967,18.861875672136296,0.9504975979778933,-0.06738770408086744,aqi,LinearRegression,0.8694703250000657
AQI:Persistence,1648,5.683252427184466,19.457181642666754,0.947323563997769,0.1316747572815534,aqi,Persistence,0.0
AQI:GRU,1621,7.477090874082604,16.109609319212126,0.9634539269267824,0.821546743485969,aqi,GRU,
AQI:PINN,1621,7.924610712959211,16.246915423193304,0.9628282899395676,-0.17856372035712062,aqi,PINN,
AQI:PIIANN,1621,6.640229069033668,13.925824361252792,0.9726905767471647,0.5865090404395881,aqi,PIIANN,
pm25:PIIANN,1671,14.70002160566,27.629400956325235,0.7967994783750826,0.587784057745029,pm25,PIIANN,
pm10:PIIANN,1681,28.836198166252103,51.56291935245046,0.7656631607484312,1.9264582061540647,pm10,PIIANN,
no2:PIIANN,1688,6.533710515259002,11.72244272193007,0.8208577518450842,-0.012037932943393833,no2,PIIANN,
so2:PIIANN,1690,3.981717022894138,8.27307545877673,0.17906377164437004,-0.18966177725536232,so2,PIIANN,
co:PIIANN,1688,0.44518652705932377,0.6866789874399326,0.5485113821566254,-0.0011872364260421507,co,PIIANN,
o3:PIIANN,1687,5.975248941874533,9.445860762959528,0.8001351770631422,0.2809513788835919,o3,PIIANN,
