model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1636,5.281193474184826,15.760516418558144,0.9729532327524647,0.5332131313808659,aqi,RandomForest,50.43404221499986
AQI:GradientBoosting,1636,8.719684440238707,17.960999968478422,0.9648734497303763,0.40181925347778724,aqi,GradientBoosting,42.952526790999855
AQI:Persistence,1636,4.622555012224939,18.889222325148797,0.9611489614449706,0.5302567237163814,aqi,Persistence,0.0
AQI:LinearRegression,1636,6.704621141825489,18.93929317817921,0.9609427186596518,0.34471240394845226,aqi,LinearRegression,0.14781321299960837
AQI:GRU,1586,9.926366673416007,22.690567353547422,0.9429792196544392,-0.5352035187527472,aqi,GRU,
AQI:PINN,1586,9.713232879633017,22.178208839392912,0.9455252327198459,-2.6223186766510045,aqi,PINN,
AQI:PIIANN,1586,8.414408958856955,19.345482568718108,0.9585521906710511,-0.9588215395596552,aqi,PIIANN,
pm25:PIIANN,1675,17.403226623535158,31.961079150922448,0.7660803920858167,-0.08674941134096971,pm25,PIIANN,
pm10:PIIANN,1662,32.08096403909217,56.2044065613912,0.7720479935999672,0.3111473615992944,pm10,PIIANN,
no2:PIIANN,1675,6.942545351025774,12.31275744591698,0.7809737088188655,0.08250700683291279,no2,PIIANN,
so2:PIIANN,1670,3.0236326072694077,5.8316303751393,0.6143890094077019,-0.00967434645201007,so2,PIIANN,
co:PIIANN,1674,0.33405505555080933,0.5451193735651191,0.31791047045484966,0.013501025441901694,co,PIIANN,
o3:PIIANN,1674,6.319069945733002,9.792700042593887,0.8548540612423821,0.08293346977451084,o3,PIIANN,
