model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1420,16.602999731369863,26.42251227467857,0.7686946575365631,-0.04968274327723862,aqi,RandomForest,29.706881535999855
AQI:GradientBoosting,1420,18.152409231139803,27.13010989283982,0.7561400092646473,0.22715009462739486,aqi,GradientBoosting,29.306082940999886
AQI:LinearRegression,1420,17.958599362960488,27.412377114574806,0.7510392734242128,-0.008943493431127441,aqi,LinearRegression,0.13827654100009568
AQI:Persistence,1420,16.092957746478874,32.277324923626374,0.6548304189587378,-0.15422535211267605,aqi,Persistence,0.0
AQI:GRU,1387,16.63565142949367,25.431207521514683,0.7915193749860655,-1.7349437357781783,aqi,GRU,
AQI:PINN,1387,16.66170243160811,25.56448674743199,0.7893284489959805,-2.0201562188713966,aqi,PINN,
AQI:PIIANN,1387,16.41564212903932,25.453873621077896,0.7911475838766806,-0.42333120433209165,aqi,PIIANN,
pm25:PIIANN,1576,14.327072934223915,20.378997869259397,0.5371956489382368,-1.0891999444229348,pm25,PIIANN,
pm10:PIIANN,1572,28.014485850892296,41.413757249706315,0.5160250487913253,-1.2286967342439803,pm10,PIIANN,
no2:PIIANN,1583,17.829954404230346,33.61455264375674,0.08150205153848467,-2.9549416426906925,no2,PIIANN,
so2:PIIANN,1179,7.207256918512379,11.284768410843336,0.08393631432925797,-1.2648059082508998,so2,PIIANN,
co:PIIANN,1580,0.3330813167199143,0.5211445458982579,0.053224979785400306,-0.0015320611544963102,co,PIIANN,
o3:PIIANN,1531,17.40274440683546,25.149253414080793,0.18472430171801957,-1.409186551708711,o3,PIIANN,
