model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:GradientBoosting,1157,7.278713410485289,18.666899124348955,0.9394955281984056,-0.4681801444502963,aqi,GradientBoosting,21.666866841
AQI:RandomForest,1157,5.318800895505664,18.667700827641095,0.9394903310121416,-0.1800533928912659,aqi,RandomForest,21.638523988000088
AQI:LinearRegression,1157,5.9434456217970855,19.007673841792812,0.9372662779815443,-0.20406370814438127,aqi,LinearRegression,0.17896104600004037
AQI:Persistence,1157,4.675453759723423,19.415992615129653,0.9345420637053857,-0.48357821953327573,aqi,Persistence,0.0
AQI:GRU,1131,6.617393032535817,17.24294868028453,0.9488050029624199,1.5194162612713205,aqi,GRU,
AQI:PINN,1131,6.825753642877485,16.744934941045326,0.9517195421413704,0.7220067516917693,aqi,PINN,
AQI:PIIANN,1131,6.1683305628118426,16.35340919852111,0.9539509093165631,0.12431475619077803,aqi,PIIANN,
pm25:PIIANN,1192,28.32431637980794,38.56088235782414,0.2115357078182849,-4.83752574236601,pm25,PIIANN,
pm10:PIIANN,1200,50.751591731868686,71.54623485406185,0.27457736089147433,-6.738945530094206,pm10,PIIANN,
no2:PIIANN,1341,28.938300123974393,38.68942179872097,0.1457613273497017,1.1241034285570262,no2,PIIANN,
so2:PIIANN,1413,9.211976402636251,12.960424711714287,0.0506968127011328,0.05651820879179117,so2,PIIANN,
co:PIIANN,1463,0.498903732539038,0.6847101487616396,0.05066651134463296,-0.07563396008179284,co,PIIANN,
o3:PIIANN,1415,24.89800159097139,32.41133081429356,0.05899842862260596,1.0403659149951732,o3,PIIANN,
