model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1585,3.306414870781037,11.571656955647443,0.9483257652222747,-0.25883888525219373,aqi,RandomForest,34.765637637000054
AQI:GradientBoosting,1585,4.719779602995612,11.946107516459906,0.9449273732024756,-0.22303791503629233,aqi,GradientBoosting,35.10492316
AQI:Persistence,1585,2.8129337539432178,11.972833339287195,0.9446806806814418,-0.08675078864353312,aqi,Persistence,0.0
AQI:LinearRegression,1585,3.8027767488888284,11.975850803656767,0.9446527933627331,-0.12483062984172157,aqi,LinearRegression,0.09905851500002427
AQI:GRU,1548,3.545830353898415,7.849624545560784,0.9770315647374059,0.43178473806307005,aqi,GRU,
AQI:PINN,1548,3.6649627561975744,7.963035926053307,0.9763630742628087,-0.5687804877007684,aqi,PINN,
AQI:PIIANN,1548,3.5734712673519384,8.03170799263592,0.9759536335271647,-0.3290015648829567,aqi,PIIANN,
pm25:PIIANN,1631,6.976315366352065,20.014882458880756,0.5006725703027834,-0.7887853811592649,pm25,PIIANN,
pm10:PIIANN,1627,22.002125428216768,36.73350736394834,0.781071783034236,-1.3372894918984553,pm10,PIIANN,
no2:PIIANN,1567,5.696697004419949,8.095240536523576,0.7603904217665934,-0.005387651926024218,no2,PIIANN,
so2:PIIANN,1553,2.1438351930296005,5.517875019443396,0.696251207776881,0.04539193910068646,so2,PIIANN,
co:PIIANN,1634,0.15717689763735404,0.25666233752070305,0.8614231331738542,0.006436176155781085,co,PIIANN,
o3:PIIANN,1619,6.427946470206151,10.770624632293321,0.6664577003829938,0.6224947188571878,o3,PIIANN,
