model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1410,3.589850437535388,10.211204630855526,0.9561356272650472,0.44368319775787834,aqi,RandomForest,28.98798368000007
AQI:LinearRegression,1410,4.19449804564442,10.638583357206072,0.9523869978561467,0.2507593549226431,aqi,LinearRegression,0.08978389399999287
AQI:GradientBoosting,1410,4.915016084108413,10.760940403730622,0.9512854812265223,0.2700409475307629,aqi,GradientBoosting,27.918133766999972
AQI:Persistence,1410,3.1400709219858154,10.927622946570372,0.9497646575436655,0.1421985815602837,aqi,Persistence,0.0
AQI:GRU,1385,4.273192048483245,9.794636214349035,0.9617385777451801,-0.906533428833997,aqi,GRU,
AQI:PINN,1385,4.459497720056147,9.739545387476834,0.9621677770408508,-0.11116990553663558,aqi,PINN,
AQI:PIIANN,1385,4.199808310097499,9.625667019964634,0.9630473016317445,-0.2722408855122568,aqi,PIIANN,
pm25:PIIANN,1390,9.408370053167824,18.2118451054918,0.6656100328567853,1.1999201043904257,pm25,PIIANN,
pm10:PIIANN,1464,15.746465700245945,26.669110776113545,0.7746551606510005,1.311804773051882,pm10,PIIANN,
no2:PIIANN,1413,4.664253815618375,10.249300059542712,0.8768217232734165,-0.4506566717545782,no2,PIIANN,
so2:PIIANN,1315,3.4128667009987304,9.976565588421684,0.7436812758384435,-0.23235620064625495,so2,PIIANN,
co:PIIANN,1507,0.14998583931906162,0.37166547837472597,0.7962330150322102,-0.0015476145613341967,co,PIIANN,
o3:PIIANN,1473,0.9073241966538187,2.405968492436626,0.8318132763379172,0.15608018520177525,o3,PIIANN,
