model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1215,5.002919725557123,16.351828602477877,0.9597150777761276,-0.46495263817095395,aqi,RandomForest,14.052920097999959
AQI:LinearRegression,1215,5.407095642609254,17.21365039703939,0.955356746890383,-0.44894516151041247,aqi,LinearRegression,0.05772249399979046
AQI:GradientBoosting,1215,7.239624071455308,17.23586180420934,0.955241462892912,-0.4409281190192454,aqi,GradientBoosting,14.537896533000094
AQI:Persistence,1215,4.536625514403292,18.367330991100083,0.9491721216719042,-1.051028806584362,aqi,Persistence,0.0
AQI:GRU,1182,5.288763520966331,12.425536341601562,0.9763366079250595,1.1169960500066105,aqi,GRU,
AQI:PINN,1182,4.921204652845366,12.424757403581394,0.9763395746763561,0.6012314488687748,aqi,PINN,
AQI:PIIANN,1182,5.057572228643238,12.438278328127444,0.9762880509511808,0.5723386929569364,aqi,PIIANN,
pm25:PIIANN,1370,20.297134159907806,27.24104205298877,0.6375898439328711,5.123633954081222,pm25,PIIANN,
pm10:PIIANN,1370,36.747635878350614,50.57743724313807,0.6110107966623507,2.4977740650629476,pm10,PIIANN,
no2:PIIANN,1363,9.87661956387872,14.543376232190276,0.31462471004251813,0.6626249240685367,no2,PIIANN,
so2:PIIANN,1309,8.772892319380304,13.200377110635493,0.043780401945907044,0.2529692236188944,so2,PIIANN,
co:PIIANN,1136,0.7004325154861708,0.9643233811872793,0.1925614854778881,-0.09586089492081502,co,PIIANN,
o3:PIIANN,1270,17.982455083506373,25.537334748908577,0.23311577407555006,1.6922168652739698,o3,PIIANN,
