model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1415,3.4346356945492986,10.116961412132458,0.9683315993012109,-0.06596563448520187,aqi,RandomForest,31.371386335999887
AQI:LinearRegression,1415,3.9152954575536962,10.840841970982163,0.9636376475732651,-0.23170902198657695,aqi,LinearRegression,0.1054459219999444
AQI:Persistence,1415,2.919434628975265,11.102175637546264,0.9618633859551794,-0.16395759717314487,aqi,Persistence,0.0
AQI:GradientBoosting,1415,5.1300118569983955,11.549096895469441,0.9587311853996903,-0.17061789790755552,aqi,GradientBoosting,30.97118183900011
AQI:GRU,1377,5.022353028226923,12.139009152473648,0.9520797578225199,0.6265272748612518,aqi,GRU,
AQI:PINN,1377,4.737494101448901,12.168172575952443,0.951849228784161,0.05468747202297975,aqi,PINN,
AQI:PIIANN,1377,4.6751797232354,11.99589814085784,0.9532029943367331,-0.25851221603728486,aqi,PIIANN,
pm25:PIIANN,1461,18.028125500532145,33.202156577914714,0.2802622310224919,-1.9700959784620677,pm25,PIIANN,
pm10:PIIANN,1366,39.11778038661616,61.017010028973644,0.3749638175691047,2.9513213854408544,pm10,PIIANN,
no2:PIIANN,1529,14.152268112292958,20.304791019343565,0.15156760548061876,1.025601798762306,no2,PIIANN,
so2:PIIANN,1409,13.368445451840007,18.00947687787486,0.06805690360082273,-0.9597031267252774,so2,PIIANN,
co:PIIANN,1310,0.4430990617493552,0.6100900878497582,0.06716337481865675,-0.01396208184548851,co,PIIANN,
o3:PIIANN,1157,10.952383949927658,17.426705559104615,0.035623182035526946,-0.6568288050959001,o3,PIIANN,
