model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1316,3.702176953945671,10.948739251564557,0.960091497912904,0.13714979281058645,aqi,RandomForest,14.78738091499963
AQI:GradientBoosting,1316,5.472619358882009,12.14212703829134,0.9509174919773363,-0.06366624250643298,aqi,GradientBoosting,14.494006882000122
AQI:LinearRegression,1316,4.847969735994609,12.888191038905834,0.944700509337229,0.029359438175555575,aqi,LinearRegression,0.09674060599991208
AQI:Persistence,1316,3.853343465045593,13.856036288973026,0.9360831703088612,0.27203647416413373,aqi,Persistence,0.0
AQI:GRU,1320,4.639498192586627,11.010360943048655,0.9588025030142757,-0.15711520072532004,aqi,GRU,
AQI:PINN,1320,4.997249200442443,11.176576582598514,0.9575492551779746,-0.19930628711873416,aqi,PINN,
AQI:PIIANN,1320,4.76329729605854,11.116447132935829,0.9580047924587333,-0.13292519967107644,aqi,PIIANN,
pm25:PIIANN,1290,15.070700103183125,25.58928792626829,0.4939146368925601,-1.7438359120095424,pm25,PIIANN,
pm10:PIIANN,1481,28.802794369721155,46.37067036908989,0.5380811388278068,-1.7224910020888617,pm10,PIIANN,
no2:PIIANN,1428,9.868493815304852,16.706265611200884,0.21755697106786454,-0.8054665832542905,no2,PIIANN,
so2:PIIANN,1460,3.4476349638494317,5.092236661183732,0.21068747940932753,0.10509777140025407,so2,PIIANN,
co:PIIANN,1452,0.49086953436115194,0.6639603614005722,0.2803790776963011,-0.05136076392481838,co,PIIANN,
o3:PIIANN,1406,18.027448034303458,25.38644012307596,0.3884567738332827,-1.6753424932573462,o3,PIIANN,
