model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1402,4.408649310117596,13.840901351334345,0.9595287175721797,-0.384080061787993,aqi,RandomForest,14.956889198000226
AQI:GradientBoosting,1402,6.1471545894505955,14.544466556375875,0.955309643983045,-0.13260673639357742,aqi,GradientBoosting,15.33675784900015
AQI:LinearRegression,1402,4.794470256836765,15.11022572317206,0.9517652397964048,-0.2343886874012899,aqi,LinearRegression,0.07538986400004433
AQI:Persistence,1402,3.9646932952924394,15.298544726739951,0.9505554463503234,-0.3519971469329529,aqi,Persistence,0.0
AQI:GRU,1375,5.410102653502791,14.670441423589988,0.9527989680972577,0.14007488646016164,aqi,GRU,
AQI:PINN,1375,5.149457699131982,14.306501279220415,0.9551118190956238,0.4003231788629493,aqi,PINN,
AQI:PIIANN,1375,4.953821783074536,14.026039124259567,0.9568545282531615,0.10784574522481008,aqi,PIIANN,
pm25:PIIANN,1203,19.755737042192724,32.36026692528542,0.4847150820434988,0.744006796918441,pm25,PIIANN,
pm10:PIIANN,1311,38.012969267632016,60.028570146564576,0.4484284299414133,-1.0879632690132892,pm10,PIIANN,
no2:PIIANN,1279,10.872117092443355,15.643272447521046,0.41985440158094667,1.0717307627805457,no2,PIIANN,
so2:PIIANN,1304,2.206278779668208,3.6134171776428183,0.12463287728169825,-0.04650177408518281,so2,PIIANN,
co:PIIANN,1357,0.49231315781374896,0.7404005512778635,0.34070712797838,-0.046098146540918664,co,PIIANN,
o3:PIIANN,1406,15.11821642997085,22.08442287054618,0.4045125049157966,-1.6143002294714048,o3,PIIANN,
