model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1404,5.36997788619652,17.048184324806904,0.966147423670929,0.027852706162780475,aqi,RandomForest,24.618449898999643
AQI:Persistence,1404,4.530982905982906,18.24650671012145,0.961221150188169,0.1762820512820513,aqi,Persistence,0.0
AQI:LinearRegression,1404,6.497638332067994,18.773548557934593,0.9589485783306811,0.331111123825584,aqi,LinearRegression,0.6893824939998012
AQI:GradientBoosting,1404,8.311038079449713,18.818407226460977,0.958752162376338,0.23882788884728434,aqi,GradientBoosting,25.178020929000013
AQI:GRU,1350,8.315060708955997,18.652639218384934,0.9544340532046423,0.7647061781404766,aqi,GRU,
AQI:PINN,1350,8.03089968335029,18.518779899368653,0.955085707964036,2.031508998593414,aqi,PINN,
AQI:PIIANN,1350,7.838023026490668,18.27820895208688,0.9562450598636711,0.7125672915121489,aqi,PIIANN,
pm25:PIIANN,1398,27.65840486078543,45.14344539432658,0.4570915868578287,0.7565680507621135,pm25,PIIANN,
pm10:PIIANN,1523,41.23551568250005,59.007564963592124,0.495964311276722,1.3261644663735588,pm10,PIIANN,
no2:PIIANN,1419,33.802956412550934,53.231842110449705,0.2097409992698679,5.321956508297413,no2,PIIANN,
so2:PIIANN,1421,10.061848360540464,16.4165358918095,0.1823020510970047,0.3100376783094823,so2,PIIANN,
co:PIIANN,1534,0.6933970647385013,0.9720596203535596,0.10821574953541013,-0.03537248685012679,co,PIIANN,
o3:PIIANN,1524,22.749147958642855,30.64217653572826,0.14175784972184335,-0.3279055719926288,o3,PIIANN,
