model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1439,4.104098862411177,11.92950425049483,0.9558034065572454,-0.10573609647538938,aqi,RandomForest,25.277800586000012
AQI:GradientBoosting,1439,5.7909004084877145,12.749236664742114,0.9495208108819201,-0.03525028241079726,aqi,GradientBoosting,25.025917753000158
AQI:LinearRegression,1439,4.826429917992306,13.198091100452588,0.9459038637312512,-0.06406439116078558,aqi,LinearRegression,0.09538559399970836
AQI:Persistence,1439,3.695969423210563,13.74507935202008,0.9413269713477962,-0.14002779708130647,aqi,Persistence,0.0
AQI:GRU,1431,5.4214043432576124,12.599736968090449,0.9492392046113276,0.387543035988622,aqi,GRU,
AQI:PINN,1431,5.3605235058969924,12.417728484323035,0.9506951342974301,0.008536572878466677,aqi,PINN,
AQI:PIIANN,1431,5.013249271270496,12.236883781546977,0.952120772845673,0.697512846725043,aqi,PIIANN,
pm25:PIIANN,1518,14.785469238465954,27.415598923740465,0.4099007314672525,0.08510562443764627,pm25,PIIANN,
pm10:PIIANN,1462,32.63590519666346,50.311519954944416,0.4531038562472911,-4.446229363270563,pm10,PIIANN,
no2:PIIANN,1551,7.382993578866393,11.246384443677684,0.15418573313725092,0.06007950083213918,no2,PIIANN,
so2:PIIANN,1387,13.038981216131738,15.651040977869298,0.1328795769684895,0.3142704436180827,so2,PIIANN,
co:PIIANN,1283,0.25086777405820593,0.3800915662796916,0.128428493808444,0.013001485834433897,co,PIIANN,
o3:PIIANN,989,11.639842869793945,21.659844373425138,0.18584928111093435,-2.4868887964084263,o3,PIIANN,
