model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1262,5.3566318034113705,15.00293891042082,0.96215458014271,-0.005686632921015567,aqi,RandomForest,22.698597551000148
AQI:LinearRegression,1262,6.280091604296722,15.523003608446762,0.9594853433479624,0.1697367382942346,aqi,LinearRegression,0.08281792400021004
AQI:Persistence,1262,4.764659270998415,15.840866225974622,0.9578091282656152,-0.3145800316957211,aqi,Persistence,0.0
AQI:GradientBoosting,1262,7.523720904127316,16.00132034011434,0.9569500862895891,0.037005055415499526,aqi,GradientBoosting,22.671362460000182
AQI:GRU,1239,7.449105761772491,17.77447702230627,0.9472368664417729,-0.6137089778171314,aqi,GRU,
AQI:PINN,1239,7.185961121266183,17.397032697584574,0.9494539437019769,-0.37244580144020983,aqi,PINN,
AQI:PIIANN,1239,7.092035371398598,16.884330505517234,0.9523892956124238,-0.22714160494932256,aqi,PIIANN,
pm25:PIIANN,1402,17.68557050552607,36.64445442882568,0.5432173764092825,-0.8089263628737817,pm25,PIIANN,
pm10:PIIANN,1396,31.886066811794368,54.077589188265584,0.5974361144631258,-2.88279765282883,pm10,PIIANN,
no2:PIIANN,1242,14.754429450767766,22.283365117157715,0.6055331863321516,0.5961260187451618,no2,PIIANN,
so2:PIIANN,1390,5.959086539987002,10.759058885451783,0.5596173344410402,0.49685432011550107,so2,PIIANN,
co:PIIANN,1400,0.2919415965609453,0.42879726924380196,0.5331381680174486,-0.014389359659681534,co,PIIANN,
o3:PIIANN,1427,17.464785347013265,23.820576128823028,0.6899030585622035,-1.0055230788693366,o3,PIIANN,
