model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1534,3.9209487043314577,11.702510943350196,0.9578558193652278,0.37321911658551987,aqi,RandomForest,31.363946217000375
AQI:GradientBoosting,1534,5.462194641443948,12.39395828277657,0.9527284804594915,0.13283114789948952,aqi,GradientBoosting,29.86953908500027
AQI:LinearRegression,1534,4.9739025619056605,13.560687826789142,0.9434095770606872,0.17976973942188149,aqi,LinearRegression,0.09624748500027636
AQI:Persistence,1534,3.6890482398956976,14.784589743115276,0.9327336196691596,0.051499348109517604,aqi,Persistence,0.0
AQI:GRU,1485,5.485922278993105,11.993995347843752,0.9507294326584115,1.487505812065865,aqi,GRU,
AQI:PINN,1485,5.264627231656057,11.640146277068444,0.9535937273898076,0.8896672760506017,aqi,PINN,
AQI:PIIANN,1485,4.874190454267271,11.214184970173068,0.956927979844254,0.059423624015110046,aqi,PIIANN,
pm25:PIIANN,1559,12.075489052906489,18.247952865175325,0.6221766857766899,-0.2372158518810162,pm25,PIIANN,
pm10:PIIANN,1524,24.48722196438807,40.603426016997545,0.5036542768958945,2.2738914877723833,pm10,PIIANN,
no2:PIIANN,1584,6.920115966156991,9.118725642437067,0.29914224277401447,-0.17887268245991583,no2,PIIANN,
so2:PIIANN,1559,8.161683109176128,10.283367464909855,0.2309034476445223,-0.7896332068033063,so2,PIIANN,
co:PIIANN,1556,0.2335124064840204,0.32374269881667084,0.25279175592258096,-0.004614601098479832,co,PIIANN,
o3:PIIANN,1558,17.477097433556555,24.266365507672056,0.3237492288086061,0.6421753102339641,o3,PIIANN,
