model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1316,4.548711275924445,12.236994424313,0.9478054316226242,0.5961255188759225,aqi,RandomForest,15.743907993999983
AQI:GradientBoosting,1316,6.390274481348376,13.390962446857348,0.9374972147978978,0.442684246839075,aqi,GradientBoosting,15.314450986999873
AQI:LinearRegression,1316,5.868100975744569,14.023357895680467,0.9314543621361948,0.3862404203945689,aqi,LinearRegression,0.09401497399994696
AQI:Persistence,1316,4.501519756838905,14.465213486699927,0.9270667643150411,0.05319148936170213,aqi,Persistence,0.0
AQI:GRU,1287,6.419008812963394,14.135595555054342,0.9262564537953991,0.5910471232391499,aqi,GRU,
AQI:PINN,1287,6.294853379768871,13.94855268612728,0.9281950984357049,-0.1888530222730257,aqi,PINN,
AQI:PIIANN,1287,6.1742833219654765,13.826466198892595,0.9294465606972654,0.0629116709093616,aqi,PIIANN,
pm25:PIIANN,1412,15.54323559999466,30.39391275610779,0.47528407592695066,2.320892276068247,pm25,PIIANN,
pm10:PIIANN,1411,26.497861534716137,48.0178840684871,0.4868803347176317,1.4769995907027194,pm10,PIIANN,
no2:PIIANN,1365,7.698917296814012,12.040751626877485,0.823066013002935,-0.24182308066104138,no2,PIIANN,
co:PIIANN,1435,0.22623788481144447,0.31714612812063847,0.7954956896357767,0.02325391431802174,co,PIIANN,
o3:PIIANN,1433,13.895837119635551,20.255024567785107,0.6688209060402442,-1.571986608877934,o3,PIIANN,
