model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1525,4.273392621734899,13.033659072129648,0.9604392066248609,0.1463897612839189,aqi,RandomForest,36.86840287300038
AQI:Persistence,1525,3.343934426229508,13.52009433471794,0.957431169117797,0.20688524590163934,aqi,Persistence,0.0
AQI:LinearRegression,1525,5.053671858424426,13.687845252550643,0.9563682680612206,0.16968187627955408,aqi,LinearRegression,0.10938038399945071
AQI:GradientBoosting,1525,6.023380929992568,14.211629624470103,0.9529651199995319,-0.1281868318317052,aqi,GradientBoosting,33.94893184900047
AQI:GRU,1486,5.96692037204657,15.111300895790123,0.9432679089923379,-0.004112170866420482,aqi,GRU,
AQI:PINN,1486,5.868251004062566,15.40319973425797,0.9410549991611539,-0.7810432301787916,aqi,PINN,
AQI:PIIANN,1486,5.551038082261342,15.181078413532143,0.9427427703387299,0.2751557422126167,aqi,PIIANN,
pm25:PIIANN,1545,15.05378464093872,22.97325635812888,0.5819764577641774,0.012396301497919274,pm25,PIIANN,
pm10:PIIANN,1524,32.94871068094659,54.054250925062256,0.5955976068252056,-2.4757495373878577,pm10,PIIANN,
no2:PIIANN,1520,20.914072431741577,32.56011039257097,0.29042202726987876,-0.2676793389806622,no2,PIIANN,
so2:PIIANN,1474,9.047906778307993,13.349123343396766,0.13618910708080711,-0.8288959120090652,so2,PIIANN,
co:PIIANN,1166,0.3458652800170602,0.4986006542469582,0.31921575857471607,-0.0065447639864542355,co,PIIANN,
o3:PIIANN,1395,12.368015219420728,21.284561845736267,0.1868438110372641,-0.3922512671265978,o3,PIIANN,
