model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1273,3.68701772524875,11.475023427451507,0.9512791630053724,-0.12130095837006949,aqi,RandomForest,33.82586839099986
AQI:GradientBoosting,1273,4.858189639023311,11.850654058665452,0.9480372388863731,-0.051508386038300824,aqi,GradientBoosting,33.24637915600033
AQI:Persistence,1273,3.181068342498036,12.348190487953573,0.9435824503487562,-0.43951296150824826,aqi,Persistence,0.0
AQI:LinearRegression,1273,4.4146938558342095,12.412287213288545,0.9429952281831582,-0.07861933751313704,aqi,LinearRegression,0.14108873500026675
AQI:GRU,1270,4.600661652241626,8.458260110813093,0.9760069575138846,-0.5079108893844845,aqi,GRU,
AQI:PINN,1270,4.351452787589928,8.525089022556898,0.9756263205359603,0.5246767537357481,aqi,PINN,
AQI:PIIANN,1270,4.066598300586569,8.394735147887909,0.9763659991123852,0.18350610935107858,aqi,PIIANN,
pm25:PIIANN,1442,11.313225852555483,15.016392600679215,0.6483877846107723,0.19784126326896448,pm25,PIIANN,
pm10:PIIANN,1173,34.949285049064486,63.21858264529846,0.5238397368542274,1.9386949486338168,pm10,PIIANN,
no2:PIIANN,1504,5.927598491429966,9.849292589761916,0.39842550443802716,-0.37346841192784463,no2,PIIANN,
so2:PIIANN,1482,6.817392638433277,11.920821230586865,0.4471185939806611,0.2457404962907999,so2,PIIANN,
co:PIIANN,1490,0.3447098316800204,0.5208452392378248,0.5105209488852132,-0.016889025297147944,co,PIIANN,
o3:PIIANN,932,11.806704228404158,15.856467076069686,0.5007322671775647,0.16932752626536357,o3,PIIANN,
