model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1383,4.630747728851986,14.613164018400722,0.9564001905485842,0.5562611621444731,aqi,RandomForest,28.19026023799961
AQI:LinearRegression,1383,5.2560988964554465,15.371236672704836,0.9517592898366233,0.23600057615149878,aqi,LinearRegression,0.09441342400077701
AQI:GradientBoosting,1383,6.560798936554116,15.482043396752175,0.9510612768057239,0.3674749635851955,aqi,GradientBoosting,29.66645505700035
AQI:Persistence,1383,4.017353579175705,15.908791913878138,0.9483261909307114,0.31019522776572667,aqi,Persistence,0.0
AQI:GRU,1366,6.274768619578086,17.675089290468524,0.9313040381818909,1.4719558731866365,aqi,GRU,
AQI:PINN,1366,6.331173074184948,17.263312886409974,0.9344675719317278,-0.18428481906373964,aqi,PINN,
AQI:PIIANN,1366,5.995489013848038,17.228932707187916,0.9347283298958942,0.8126985820099788,aqi,PIIANN,
pm25:PIIANN,1392,20.129235963026684,54.51887718493357,0.26302647550232205,-1.063210666179657,pm25,PIIANN,
pm10:PIIANN,1421,47.61397803022692,101.82491840555844,0.33395081558719775,-4.844160735649093,pm10,PIIANN,
no2:PIIANN,1475,16.6295662599802,24.71979055280067,0.27938922200839433,-1.0255430084668984,no2,PIIANN,
so2:PIIANN,1537,12.200204775654743,14.615185690063672,0.3233021008877758,-0.2532726557126721,so2,PIIANN,
co:PIIANN,1381,0.37259030601707593,0.5520333488967257,0.2300737142414564,0.015578371219445037,co,PIIANN,
o3:PIIANN,1488,10.74195488277943,16.672992729070586,0.19445934202431414,0.9470317060908964,o3,PIIANN,
