model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,835,3.595496669951016,10.054711765902125,0.953402880714747,0.19239333380958035,aqi,RandomForest,24.366001647000076
AQI:GradientBoosting,835,4.888504179234688,10.781797231785019,0.9464200704893335,0.053020487900225,aqi,GradientBoosting,20.40777690499999
AQI:LinearRegression,835,4.544997602772396,11.11463202344408,0.9430609789919024,0.1330329410351914,aqi,LinearRegression,0.0878750960000616
AQI:Persistence,835,3.3664670658682634,11.780070453110183,0.936038948674393,-0.11137724550898204,aqi,Persistence,0.0
AQI:GRU,805,4.746875630919421,9.770749564418207,0.9564460828328922,-0.9022060778981533,aqi,GRU,
AQI:PINN,805,5.25668910624878,10.687697985630118,0.9478877526236316,-1.4516309589743737,aqi,PINN,
AQI:PIIANN,805,4.897957477585966,10.174781896532973,0.9527695945173492,-0.6429933138926699,aqi,PIIANN,
pm25:PIIANN,844,7.527187209558713,16.838427850548424,0.6868560900534958,-0.6483648557798557,pm25,PIIANN,
pm10:PIIANN,844,12.562138939920759,32.706724360350975,0.6234104171339095,-1.7077925097885855,pm10,PIIANN,
no2:PIIANN,843,6.684944983478967,10.387498143558796,0.7295192898011204,-0.6244861881645266,no2,PIIANN,
so2:PIIANN,844,5.619836299640449,10.821095456206093,0.601529067589656,0.023229874211465013,so2,PIIANN,
co:PIIANN,844,0.19998361628891026,0.3284064808567182,0.6701044068221447,-0.015497924861502591,co,PIIANN,
o3:PIIANN,842,9.75727796436325,13.195182323720948,0.8364273684691018,0.44418637342684664,o3,PIIANN,
