model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,793,3.9904521818774614,10.314631287720127,0.952238141650045,0.03394797168364401,aqi,RandomForest,23.0978810229999
AQI:GradientBoosting,793,5.348565501527426,10.919556990368461,0.94647165220333,-0.16182902587908388,aqi,GradientBoosting,21.011804257999984
AQI:LinearRegression,793,5.739943001285294,12.23182773389011,0.9328329131972236,-0.005344501697896121,aqi,LinearRegression,0.10036740000009559
AQI:Persistence,793,3.751576292559899,13.58532885694432,0.9171458794977191,-0.2005044136191677,aqi,Persistence,0.0
AQI:GRU,764,5.93453167807427,12.319273057950856,0.9398772048210176,0.3205209704531348,aqi,GRU,
AQI:PINN,764,5.520950478864303,11.812913810518424,0.9447180860302417,0.11017848333762435,aqi,PINN,
AQI:PIIANN,764,5.288553556659752,11.470695996411616,0.9478747032826301,0.05308101338865106,aqi,PIIANN,
pm25:PIIANN,824,11.810047456651057,19.07951388202397,0.6538643225166783,0.4063499011461017,pm25,PIIANN,
pm10:PIIANN,824,21.77284727281737,34.85211787322054,0.6928996545659336,-0.19371463257132224,pm10,PIIANN,
no2:PIIANN,826,7.702668945090823,11.643761313369287,0.6019107484593662,0.43458026950642215,no2,PIIANN,
so2:PIIANN,817,10.60184150373146,16.905450465192086,0.4754755994205836,-0.13797096668479272,so2,PIIANN,
co:PIIANN,826,0.4608502397550491,0.7102061476992443,0.5374338704357415,0.060900577313557594,co,PIIANN,
o3:PIIANN,820,10.748031019237711,18.920531314689743,0.582192517119422,-0.33687274986650884,o3,PIIANN,
