model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1501,3.9123612656447615,11.201672949287927,0.9612528981878355,-0.25501487399386,aqi,RandomForest,41.543337629999996
AQI:LinearRegression,1501,4.38418623442264,11.550523465737186,0.9588019386300733,-0.2195660867196913,aqi,LinearRegression,0.1191584729999704
AQI:Persistence,1501,3.2581612258494337,11.771099954432545,0.9572134231765245,-0.3454363757495003,aqi,Persistence,0.0
AQI:GradientBoosting,1501,5.337413793563723,11.782549401728115,0.9571301478825673,-0.04837108583052456,aqi,GradientBoosting,35.89161654399982
AQI:GRU,1456,5.147286297332444,12.309738101984504,0.9563628740704833,-0.4242430701118113,aqi,GRU,
AQI:PINN,1456,5.268197296298943,12.562500787288512,0.95455242482767,-0.5587093540357883,aqi,PINN,
AQI:PIIANN,1456,5.040331453060993,12.49959432083059,0.9550064408478334,-0.37135469111962577,aqi,PIIANN,
pm25:PIIANN,1593,18.606604484814333,26.040000927482215,0.3672929647834271,2.023427877348321,pm25,PIIANN,
pm10:PIIANN,1569,38.401259228102795,59.34398558158368,0.13289108083155754,-2.4419597777080355,pm10,PIIANN,
no2:PIIANN,1642,14.679044810630808,22.960849029459034,0.0914910518910711,-0.7079401480875701,no2,PIIANN,
so2:PIIANN,1651,9.547663124994026,18.205523796524666,0.051665142333974345,-2.22059636824634,so2,PIIANN,
co:PIIANN,1654,0.7068196642654799,0.9154274568614199,0.072478384760852,0.04131722869832283,co,PIIANN,
o3:PIIANN,1670,23.31751169844302,28.690777783972603,0.035347833399174244,-2.538369217033158,o3,PIIANN,
