model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,758,3.883654477131815,12.024922274256435,0.9456497297862624,0.06721762588558783,aqi,RandomForest,21.42992363799999
AQI:GradientBoosting,758,5.222869671400613,12.18088720465945,0.9442307254641542,0.10056264268772688,aqi,GradientBoosting,19.10396998300007
AQI:LinearRegression,758,4.655388890980628,12.657916689297274,0.939777106540942,-0.01017648646224682,aqi,LinearRegression,0.06383293599992612
AQI:Persistence,758,3.258575197889182,13.04315953111399,0.9360555635587846,-0.48021108179419525,aqi,Persistence,0.0
AQI:GRU,713,4.886381069448799,10.155311644409009,0.9568868319953884,-0.20758403296705036,aqi,GRU,
AQI:PINN,713,4.620606164230074,9.937053714885172,0.9587200939397207,1.093653965503133,aqi,PINN,
AQI:PIIANN,713,4.247735746130927,9.482116105724254,0.9624133202950005,-0.06067955306148449,aqi,PIIANN,
pm25:PIIANN,752,11.243687861618843,15.531599474812078,0.6366028381070852,0.7337633991178046,pm25,PIIANN,
pm10:PIIANN,753,25.20077767497198,34.16485721023274,0.5578343717263188,-1.1529676018958073,pm10,PIIANN,
no2:PIIANN,750,8.603061211697757,14.464553940577934,0.24178397737351076,-1.3325963988776008,no2,PIIANN,
so2:PIIANN,753,9.225584326977353,16.352888838681647,0.13884029434021905,-0.6027048506525409,so2,PIIANN,
co:PIIANN,753,0.22249811048196538,0.36342703003079585,0.27769148635203733,-0.00982517059910887,co,PIIANN,
o3:PIIANN,749,14.078273318160837,19.676867994582878,0.2556288594556718,-1.4361812878991955,o3,PIIANN,
