model,n,MAE,RMSE,R2,Bias,target,model_family,training_time_seconds
AQI:RandomForest,1578,5.3539019721429755,17.349970526126395,0.9692583415668258,-0.5539628736792637,aqi,RandomForest,47.25968542500004
AQI:GradientBoosting,1578,8.553480724260202,18.29795286490659,0.9658071879385675,-0.34662186328397815,aqi,GradientBoosting,40.56016165300002
AQI:LinearRegression,1578,6.823618067577199,18.353579525322207,0.965598976332193,-0.23630198408515277,aqi,LinearRegression,0.18348605700003873
AQI:Persistence,1578,4.656844106463878,18.657038244202305,0.9644519965453224,-0.44011406844106465,aqi,Persistence,0.0
AQI:GRU,1529,7.639784745297876,19.48606937766215,0.9613312880758923,0.7622384943831196,aqi,GRU,
AQI:PINN,1529,7.675634510983496,19.222414847838657,0.9623706160562422,-0.28373696931441494,aqi,PINN,
AQI:PIIANN,1529,7.656884221730386,19.217377293587287,0.9623903362865958,1.1887661601344852,aqi,PIIANN,
pm25:PIIANN,1652,19.2888147223371,29.664563290453476,0.7331679502427718,2.3088650505710167,pm25,PIIANN,
pm10:PIIANN,1631,41.50548297884017,61.190677734568936,0.6806688375577283,4.698857446569449,pm10,PIIANN,
no2:PIIANN,1616,15.988973278215727,28.78429538182905,0.20416577887304999,-0.9511189927015048,no2,PIIANN,
so2:PIIANN,1665,3.029880768624512,8.371107452594066,0.039883374988425646,-0.1962649063931571,so2,PIIANN,
co:PIIANN,1671,0.4122867603577641,0.641854422796528,0.33678956700713303,0.049933525070779826,co,PIIANN,
o3:PIIANN,1665,15.019411489949212,20.895501824414545,0.26476496338605215,-1.7967070173214863,o3,PIIANN,
